ID	adj.P.Val	P.Value	t	B	logFC	Gene	SPOT_ID
HSPB3	9.64E-08	3.04E-12	-8.263931	17.51899	-0.77731989	HSPB3	
DNAJC5G	1.66E-07	1.05E-11	-7.986	16.33755	-0.24650427	DNAJC5G	
FRMPD2	3.07E-07	2.98E-11	-7.750121	15.3367	-0.20851959	FRMPD2	
CENTD2	3.07E-07	3.99E-11	7.68465	15.05934	0.1922228	CENTD2	
VGF	3.07E-07	4.83E-11	-7.641078	14.87488	-1.59570109	VGF	
ATXN10	3.32E-07	6.28E-11	-7.582109	14.62542	-0.30364947	ATXN10	
TMEM150A	3.78E-07	8.34E-11	7.517759	14.35345	0.52341004	TMEM150A	
NT5DC3	4.18E-07	1.05E-10	-7.46462	14.12907	-0.56798042	NT5DC3	
SERTAD3	4.74E-07	1.35E-10	7.409325	13.89581	0.17179281	SERTAD3	
STK38	5.12E-07	1.62E-10	7.36715	13.71805	0.4258759	STK38	
ADCYAP1	5.12E-07	1.78E-10	-7.346452	13.63087	-0.85379008	ADCYAP1	
CORO1C	5.78E-07	2.40E-10	7.277973	13.34268	0.33861211	CORO1C	
CTDSP2	5.78E-07	2.51E-10	7.268158	13.30141	0.58836143	CTDSP2	
POGK	5.78E-07	2.64E-10	7.256504	13.25242	0.51882403	POGK	
RAF1	5.78E-07	2.73E-10	7.248426	13.21846	0.29871553	RAF1	
HS.369017	6.43E-07	3.25E-10	-7.209229	13.05381	-0.57151251	HS.369017	
NFKB1	6.52E-07	3.50E-10	7.192522	12.98367	0.44473046	NFKB1	
NIPBL	6.71E-07	3.81E-10	7.172992	12.90171	0.42124844	NIPBL	
C15ORF57	7.28E-07	4.36E-10	-7.141942	12.77149	-0.25407628	C15ORF57	
MLLT6	8.03E-07	5.31E-10	7.097033	12.58333	0.6606433	MLLT6	
ZNF438	8.03E-07	5.58E-10	7.085893	12.53668	0.2438816	ZNF438	
NETO1	8.03E-07	5.61E-10	-7.084666	12.53155	-0.13201554	NETO1	
LOC388481	8.03E-07	6.03E-10	-7.068267	12.46291	-0.34150204	LOC388481	
GOLT1A	8.03E-07	6.14E-10	-7.063864	12.44449	-0.19550377	GOLT1A	
TMEM118	8.03E-07	6.33E-10	-7.056948	12.41556	-0.35395288	TMEM118	
C17ORF102	8.22E-07	6.86E-10	-7.038503	12.33842	-0.14100789	C17ORF102	
CHCHD6	8.22E-07	7.21E-10	-7.027115	12.29081	-0.47037969	CHCHD6	
NFKBIA	8.22E-07	7.33E-10	7.023463	12.27555	0.72596814	NFKBIA	
HS.303060	8.22E-07	7.66E-10	-7.013289	12.23303	-0.22380671	HS.303060	
STAG1	8.22E-07	7.78E-10	7.009853	12.21868	0.28557826	STAG1	
ZC3H11B	8.64E-07	8.44E-10	6.991089	12.1403	0.33552789	ZC3H11B	
RHOQ	9.98E-07	1.01E-09	6.950787	11.97211	0.70096609	RHOQ	
EPHA10	1.10E-06	1.15E-09	-6.9211	11.84835	-0.19003078	EPHA10	
ZNF184	1.12E-06	1.20E-09	-6.909891	11.80164	-0.44433173	ZNF184	
LOC728533	1.13E-06	1.26E-09	6.899669	11.75907	0.29247402	LOC728533	
BRE	1.13E-06	1.28E-09	-6.89522	11.74054	-0.35409052	BRE	
STS	1.24E-06	1.45E-09	-6.867333	11.62447	-0.22535489	STS	
TEAD2	1.25E-06	1.49E-09	6.860444	11.59581	0.81644354	TEAD2	
PDGFRB	1.43E-06	1.93E-09	6.801148	11.34941	0.79523277	PDGFRB	
RBPJ	1.43E-06	1.98E-09	6.7957	11.32679	0.26603942	RBPJ	
S100A6	1.43E-06	2.02E-09	6.791347	11.30872	0.5278108	S100A6	
BCL6	1.43E-06	2.02E-09	6.790952	11.30708	0.68065671	BCL6	
CHST6	1.43E-06	2.03E-09	6.790268	11.30424	0.73540883	CHST6	
HBP1	1.43E-06	2.06E-09	6.786654	11.28925	0.3748394	HBP1	
KIAA0556	1.43E-06	2.07E-09	6.785098	11.28279	0.30412576	KIAA0556	
SLC7A2	1.43E-06	2.07E-09	6.785091	11.28276	0.90259757	SLC7A2	
C19ORF30	1.69E-06	2.51E-09	-6.740722	11.0988	-0.43605657	C19ORF30	
NCALD	1.73E-06	2.62E-09	-6.730644	11.05705	-0.79252233	NCALD	
GRTP1	1.73E-06	2.74E-09	6.720573	11.01535	0.11657994	GRTP1	
SPRYD5	1.73E-06	2.82E-09	-6.713915	10.98779	-0.57671151	SPRYD5	
LOC649095	1.73E-06	2.83E-09	-6.713464	10.98592	-0.40113974	LOC649095	
GTF2H3	1.73E-06	2.84E-09	-6.712226	10.98079	-0.26825655	GTF2H3	
PFN2	1.83E-06	3.09E-09	-6.692685	10.89994	-0.82854962	PFN2	
PRKCG	1.83E-06	3.12E-09	-6.69059	10.89128	-0.67776922	PRKCG	
LOC387856	1.95E-06	3.39E-09	-6.671484	10.81229	-0.71523449	LOC387856	
C16ORF91	1.96E-06	3.52E-09	-6.662454	10.77498	-0.25117368	C16ORF91	
SLC30A3	1.96E-06	3.57E-09	-6.659229	10.76165	-0.93400704	SLC30A3	
HEY2	1.96E-06	3.77E-09	6.646595	10.70947	0.81415046	HEY2	
CRH	1.96E-06	3.80E-09	-6.644889	10.70243	-0.41602773	CRH	
TCEAL2	1.96E-06	3.82E-09	-6.643662	10.69736	-0.57435664	TCEAL2	
ELF1	1.96E-06	3.82E-09	6.643596	10.69709	0.48516949	ELF1	
SEZ6L	1.96E-06	3.84E-09	-6.64251	10.69261	-0.20190409	SEZ6L	
KLHDC9	2.02E-06	4.05E-09	-6.630318	10.64228	-0.32172453	KLHDC9	
ITGB1	2.02E-06	4.09E-09	6.627784	10.63182	0.5520083	ITGB1	
HS.548045	2.02E-06	4.17E-09	-6.623601	10.61457	-0.31981991	HS.548045	
HS.4892	2.02E-06	4.21E-09	-6.621326	10.60518	-0.43242055	HS.4892	
CCKBR	2.06E-06	4.35E-09	-6.613619	10.57339	-0.66700244	CCKBR	
SLC35A2	2.13E-06	4.63E-09	-6.599043	10.5133	-0.16760865	SLC35A2	
C16ORF53	2.13E-06	4.64E-09	6.598999	10.51311	0.37358567	C16ORF53	
BAZ1A	2.13E-06	4.70E-09	6.595721	10.49961	0.34189492	BAZ1A	
VCAN	2.29E-06	5.12E-09	6.575945	10.41814	0.79197292	VCAN	
XPNPEP2	2.33E-06	5.28E-09	-6.568655	10.38812	-0.22381612	XPNPEP2	
LOC400464	2.33E-06	5.36E-09	6.565127	10.3736	0.21280579	LOC400464	
FAM160A2	2.42E-06	5.64E-09	-6.553504	10.32576	-0.29643317	FAM160A2	
NUDT15	2.53E-06	5.99E-09	6.53947	10.26804	0.27998815	NUDT15	
SRD5A3	2.56E-06	6.15E-09	-6.533434	10.24322	-0.24921777	SRD5A3	
OPN4	2.57E-06	6.24E-09	-6.529914	10.22875	-0.06205091	OPN4	
NAP1L5	2.78E-06	6.84E-09	-6.508723	10.14168	-1.00917988	NAP1L5	
PLCE1	2.91E-06	7.27E-09	6.494605	10.08372	0.43376457	PLCE1	
FAM5B	2.91E-06	7.33E-09	-6.492421	10.07476	-0.42406691	FAM5B	
BRWD1	2.91E-06	7.51E-09	-6.486855	10.05191	-0.69378673	BRWD1	
C1ORF165	2.91E-06	7.61E-09	-6.483852	10.03959	-0.37241587	C1ORF165	
LAMA5	2.91E-06	7.62E-09	6.483579	10.03847	0.55258782	LAMA5	
PRR16	3.05E-06	8.08E-09	-6.469773	9.98185	-0.18952059	PRR16	
NDUFAB1	3.20E-06	8.58E-09	-6.455805	9.92459	-0.52138392	NDUFAB1	
TCL1B	3.22E-06	8.83E-09	6.449285	9.89788	0.18384932	TCL1B	
MCM7	3.22E-06	8.85E-09	6.448715	9.89554	0.55403112	MCM7	
BRF2	3.25E-06	9.01E-09	-6.444417	9.87794	-0.30528462	BRF2	
SAP30L	3.26E-06	9.15E-09	6.440788	9.86307	0.4284381	SAP30L	
FBL	3.40E-06	9.70E-09	6.427218	9.80751	0.37990304	FBL	
CYP2C8	3.40E-06	9.77E-09	-6.425503	9.8005	-0.40690405	CYP2C8	
CRMP1	3.43E-06	1.00E-08	-6.41946	9.77577	-0.39079357	CRMP1	
PLXNB1	3.43E-06	1.01E-08	6.418545	9.77203	0.88880343	PLXNB1	
PTBP1	3.50E-06	1.04E-08	6.41173	9.74415	0.57719212	PTBP1	
ITSN1	3.50E-06	1.05E-08	6.408276	9.73002	0.76266603	ITSN1	
FBXO16	3.50E-06	1.07E-08	-6.405318	9.71792	-0.18883932	FBXO16	
ATP6V1E1	3.50E-06	1.07E-08	-6.404105	9.71296	-0.63125317	ATP6V1E1	
MTMR10	3.85E-06	1.19E-08	6.379631	9.61295	0.35258787	MTMR10	
CFLAR	3.87E-06	1.21E-08	6.376146	9.59872	0.75466279	CFLAR	
PCDH8	4.12E-06	1.30E-08	-6.359138	9.52929	-0.36722381	PCDH8	
MRPL21	4.21E-06	1.34E-08	-6.351633	9.49867	-0.3265398	MRPL21	
CORT	4.30E-06	1.38E-08	-6.344488	9.46953	-0.22093525	CORT	
PLEKHH3	4.35E-06	1.42E-08	6.337622	9.44154	0.45466613	PLEKHH3	
DDX39	4.35E-06	1.43E-08	6.337122	9.4395	0.44900431	DDX39	
KCNJ10	4.47E-06	1.53E-08	6.320345	9.37114	0.59848694	KCNJ10	
C6ORF225	4.47E-06	1.54E-08	6.318916	9.36532	0.51116925	C6ORF225	
FAM65C	4.47E-06	1.56E-08	6.316111	9.3539	0.61892022	FAM65C	
DDIT4L	4.47E-06	1.56E-08	6.316064	9.35371	0.90276784	DDIT4L	
SVOP	4.47E-06	1.57E-08	-6.314926	9.34907	-0.99169581	SVOP	
CHD7	4.47E-06	1.57E-08	6.31428	9.34644	0.56474636	CHD7	
KLHL35	4.47E-06	1.58E-08	-6.31363	9.34379	-0.41592316	KLHL35	
PPFIBP2	4.47E-06	1.58E-08	6.313068	9.3415	0.64808192	PPFIBP2	
LINGO1	4.63E-06	1.65E-08	-6.302911	9.30016	-0.64483346	LINGO1	
ARAP1	4.85E-06	1.74E-08	6.290155	9.24826	0.2829537	ARAP1	
C6ORF154	4.88E-06	1.77E-08	-6.28665	9.234	-0.30028225	C6ORF154	
TNIP1	5.14E-06	1.88E-08	6.272136	9.175	0.34097191	TNIP1	
VSTM2L	5.16E-06	1.90E-08	-6.269495	9.16427	-0.59704701	VSTM2L	
MSC	5.36E-06	2.01E-08	-6.256695	9.11227	-0.13109454	MSC	
CMTM4	5.36E-06	2.01E-08	6.256461	9.11132	0.29249884	CMTM4	
B4GALT4	5.44E-06	2.06E-08	6.251122	9.08964	0.3679241	B4GALT4	
CAMK1G	5.89E-06	2.25E-08	-6.230467	9.00583	-0.7048563	CAMK1G	
PCSK1	6.24E-06	2.45E-08	-6.21056	8.92514	-1.20840286	PCSK1	
KIAA0090	6.24E-06	2.46E-08	-6.209047	8.91901	-0.32194024	KIAA0090	
PCYOX1L	6.24E-06	2.47E-08	-6.208234	8.91572	-0.48526476	PCYOX1L	
BGN	6.24E-06	2.47E-08	6.208191	8.91554	0.76214193	BGN	
NINJ1	6.24E-06	2.48E-08	6.20732	8.91201	0.55429865	NINJ1	
LRRC32	6.24E-06	2.50E-08	6.205313	8.90389	0.77115337	LRRC32	
INPP5D	6.26E-06	2.53E-08	6.202687	8.89325	0.55932129	INPP5D	
RIMS1	6.49E-06	2.64E-08	-6.192527	8.85211	-0.24564989	RIMS1	
WBP11	6.55E-06	2.69E-08	-6.188429	8.83553	-0.27446382	WBP11	
ITGA10	6.62E-06	2.78E-08	6.180214	8.80228	0.51121591	ITGA10	
RNFT2	6.62E-06	2.80E-08	-6.178769	8.79644	-0.33901686	RNFT2	
HOPX	6.62E-06	2.80E-08	-6.178313	8.79459	-0.79482625	HOPX	
DUSP28	6.62E-06	2.82E-08	-6.177019	8.78936	-0.28545483	DUSP28	
ITPRIP	6.62E-06	2.83E-08	6.175884	8.78477	0.66732134	ITPRIP	
PRKAR1B	6.62E-06	2.84E-08	-6.175102	8.78161	-0.39596079	PRKAR1B	
LPA	6.76E-06	2.92E-08	-6.168644	8.75549	-0.04963703	LPA	
FAM174A	6.91E-06	3.01E-08	-6.161694	8.7274	-0.47209386	FAM174A	
EZR	7.38E-06	3.25E-08	6.143508	8.65393	0.68989623	EZR	
LOC285550	7.38E-06	3.28E-08	-6.141057	8.64404	-0.54914413	LOC285550	
RQCD1	7.38E-06	3.30E-08	-6.139501	8.63776	-0.38290548	RQCD1	
ARHGEF10	7.38E-06	3.33E-08	6.137678	8.6304	0.52990134	ARHGEF10	
C17ORF58	7.38E-06	3.36E-08	-6.135635	8.62216	-0.35071318	C17ORF58	
TRABD	7.38E-06	3.36E-08	6.135447	8.6214	0.72262797	TRABD	
LOC284988	7.38E-06	3.37E-08	6.134528	8.61769	0.64725943	LOC284988	
PIGZ	7.40E-06	3.41E-08	-6.132059	8.60772	-0.36623454	PIGZ	
VIL2	7.45E-06	3.46E-08	6.128928	8.59509	0.7818516	VIL2	
COPS8	7.45E-06	3.48E-08	-6.127376	8.58883	-0.36377365	COPS8	
PLCB1	8.06E-06	3.79E-08	-6.107135	8.50722	-0.54546336	PLCB1	
KLHDC5	8.19E-06	3.87E-08	-6.101877	8.48603	-0.41267891	KLHDC5	
C14ORF139	8.27E-06	3.94E-08	6.097992	8.47038	0.13681125	C14ORF139	
ANTXR2	8.45E-06	4.05E-08	6.091132	8.44275	0.41726332	ANTXR2	
SERF1A	8.49E-06	4.10E-08	-6.088541	8.43232	-0.11442179	SERF1A	
RNF114	8.59E-06	4.18E-08	6.084158	8.41468	0.3399173	RNF114	
TNS1	8.65E-06	4.23E-08	6.08099	8.40193	0.36410721	TNS1	
LASS1	8.65E-06	4.26E-08	6.079654	8.39655	0.63821723	LASS1	
KANK2	8.71E-06	4.31E-08	6.07648	8.38378	0.38588464	KANK2	
STAT4	8.77E-06	4.37E-08	-6.073265	8.37085	-1.10649762	STAT4	
VIP	8.99E-06	4.51E-08	-6.066006	8.34165	-0.70713507	VIP	
SCG3	9.11E-06	4.60E-08	-6.061387	8.32308	-0.61822874	SCG3	
HS.362343	9.15E-06	4.65E-08	-6.058837	8.31283	-0.27759872	HS.362343	
LAMC1	9.32E-06	4.76E-08	6.052949	8.28917	0.43464415	LAMC1	
CHP	9.73E-06	5.00E-08	-6.041244	8.24216	-0.46967818	CHP	
ITPKB	9.78E-06	5.08E-08	6.037845	8.22851	0.89779333	ITPKB	
