ID	adj.P.Val	P.Value	t	B	logFC	GB_ACC	Gene
39028	1.19E-16	3.87E-21	11.9838968	37.360314	2.0026184	NM_001040058	SPP1
30337	1.19E-16	4.05E-21	11.9745184	37.315111	1.99162569	NM_001040058	SPP1
20629	1.57E-16	8.00E-21	11.8383747	36.658066	1.61043161	NM_021615	CHST6
59381	1.84E-16	1.25E-20	11.7491206	36.226476	2.01214806	NM_001040058	SPP1
20498	3.11E-16	2.95E-20	11.5777413	35.395986	1.98850929	NM_001040058	SPP1
37354	3.11E-16	3.31E-20	11.5551581	35.286382	1.98003485	NM_001040058	SPP1
15709	3.11E-16	4.18E-20	11.508397	35.059312	1.96185247	NM_001040058	SPP1
15291	3.11E-16	4.59E-20	11.4899377	34.96963	1.96365591	NM_001040058	SPP1
39722	3.11E-16	4.85E-20	11.4790831	34.916883	1.9785853	NM_001040058	SPP1
21888	3.11E-16	5.30E-20	-11.46128	34.830351	-1.31691976	NM_001280	CIRBP
3377	3.23E-16	6.04E-20	-11.435351	34.704284	-0.89372809	NM_016209	TRAPPC2L
37926	3.44E-16	7.02E-20	-11.405404	34.558621	-1.66740217	NM_012445	SPON2
17329	3.61E-16	7.99E-20	11.3798274	34.434167	1.9805044	NM_001040058	SPP1
41226	3.61E-16	8.62E-20	11.3648623	34.361326	1.2570388	NM_001540	HSPB1
23292	4.13E-16	1.05E-19	11.3248245	34.166373	1.92921306	NM_001040058	SPP1
6849	6.09E-16	1.66E-19	-11.2346176	33.726742	-1.62367923	NM_012445	SPON2
19495	8.21E-16	2.38E-19	-11.1634641	33.379599	-1.6177104	NM_012445	SPON2
30248	9.30E-16	2.91E-19	-11.1232121	33.183079	-1.65290617	NM_012445	SPON2
57546	9.30E-16	3.01E-19	-11.1166738	33.151149	-1.60853792	NM_012445	SPON2
15074	9.66E-16	3.29E-19	-11.0990108	33.064876	-1.62699442	NM_012445	SPON2
13676	1.01E-15	3.62E-19	-11.0801242	32.972606	-0.82987245	NM_006123	IDS
54122	1.35E-15	5.05E-19	-11.0144257	32.651476	-1.65205968	NM_012445	SPON2
38007	1.37E-15	5.38E-19	-11.0018766	32.590109	-1.61052479	NM_012445	SPON2
20437	2.12E-15	8.65E-19	-10.9079076	32.13031	-1.66202046	NM_012445	SPON2
59714	2.37E-15	1.01E-18	-10.8771685	31.979799	-1.60828307	NM_006743	RBM3
6368	3.22E-15	1.42E-18	10.8093342	31.647486	1.42639358	NM_138350	THAP3
17401	3.33E-15	1.53E-18	10.7952691	31.578554	1.53905379		
32079	3.72E-15	1.77E-18	10.7658807	31.434494	1.44541589	NM_001540	HSPB1
32404	4.28E-15	2.11E-18	-10.7313141	31.264999	-1.61125628	NM_012445	SPON2
45407	6.27E-15	3.20E-18	10.6494591	30.863415	1.14862831	NM_001885	CRYAB
36763	9.37E-15	4.95E-18	-10.5635786	30.441781	-1.15030325	BM562684	XLOC_010952
1853	1.48E-14	8.08E-18	-10.4668416	29.966509	-1.34377804	NR_027252	CYP1B1-AS1
53404	1.68E-14	9.42E-18	-10.436591	29.817819	-2.17975087	NM_006743	RBM3
57443	1.84E-14	1.07E-17	10.4122309	29.698061	1.17690564	NM_012105	BACE2
24841	1.86E-14	1.11E-17	-10.4047931	29.661492	-1.04493633	NM_021165	FAM5B
52614	2.43E-14	1.49E-17	10.3460561	29.372642	0.61640622	NM_006625	SRSF10
9032	5.52E-14	3.48E-17	-10.1795359	28.553245	-0.66222039	NM_016004	IFT52
4623	7.67E-14	4.96E-17	10.109483	28.20835	1.63333843	NM_001252204	C4A
36907	9.53E-14	6.33E-17	-10.0615844	27.972479	-0.845251	NM_013373	ZDHHC8
36839	1.03E-13	6.99E-17	-10.0419977	27.876016	-1.23830014	NM_001076680	C17orf108
58370	1.24E-13	8.74E-17	9.9981474	27.660038	2.15243418	NM_006671	SLC1A7
59952	1.24E-13	8.88E-17	9.9950433	27.644748	1.13609081	AB209470	
11458	1.37E-13	1.00E-16	-9.9707006	27.524842	-0.62725512	NM_000447	PSEN2
520	1.48E-13	1.11E-16	-9.9509587	27.427592	-1.16503499	NM_005646	TARBP1
1487	1.52E-13	1.17E-16	-9.9401411	27.374303	-0.96182577	NM_022165	LIN7B
9964	1.52E-13	1.19E-16	-9.9373635	27.36062	-0.62956184	NM_000447	PSEN2
50061	1.85E-13	1.48E-16	9.8942389	27.14817	0.81105115	NM_018434	RNF130
11910	2.43E-13	1.99E-16	-9.8359275	26.860887	-1.24777015	NR_027061	FAM182B
32324	2.43E-13	2.03E-16	-9.8324191	26.843601	-1.10611616	NM_181077	GOLGA8A
22753	2.61E-13	2.23E-16	-9.8141936	26.753806	-0.75622862	NM_001013690	FIGNL2
22579	2.95E-13	2.57E-16	-9.7862314	26.616038	-0.62870711	NM_000447	PSEN2
28564	3.09E-13	2.74E-16	-9.7735289	26.553454	-0.6190267	NM_000447	PSEN2
20651	3.63E-13	3.28E-16	-9.7378914	26.377871	-1.17341478	NR_027447	LOC100289341
11869	9.47E-13	8.71E-16	9.5457262	25.431194	0.78740033		SHMT1
44957	1.21E-12	1.13E-15	9.4943346	25.178085	0.95123461	NM_001011880	CLEC18B
37923	1.26E-12	1.20E-15	-9.4829774	25.122155	-1.08117579	XR_110530	LOC100507165
27603	1.50E-12	1.46E-15	-9.4444676	24.932524	-1.25576835	NM_002477	MYL5
55181	1.54E-12	1.52E-15	9.4355594	24.888662	1.95275917	NM_198098	AQP1
52119	1.54E-12	1.55E-15	9.4319966	24.87112	0.59238465	NM_005754	G3BP1
30318	1.81E-12	1.85E-15	-9.3976572	24.702057	-1.29563271	NM_172215	CAMKK2
14774	1.96E-12	2.04E-15	-9.3780492	24.605533	-0.59489335	NM_012260	HACL1
13530	1.96E-12	2.07E-15	-9.3755609	24.593285	-0.59593245	AK091672	LOC286161
54617	2.08E-12	2.24E-15	9.3601505	24.517431	1.11271525		XLOC_001257
8086	2.14E-12	2.38E-15	-9.3480054	24.457654	-0.76127017	NM_015416	LETMD1
33097	2.14E-12	2.40E-15	-9.3458496	24.447044	-0.60818523	NM_000447	PSEN2
46953	2.14E-12	2.40E-15	-9.3457652	24.446628	-0.61563579	NM_000447	PSEN2
1994	2.21E-12	2.53E-15	-9.3360035	24.398585	-0.77701088	NM_000178	GSS
32333	2.65E-12	3.07E-15	-9.2973355	24.208302	-0.7139158	NM_198706	HSD11B1L
21724	2.96E-12	3.47E-15	-9.2732967	24.090029	-0.86334042	NR_026788	FAM66C
44301	3.36E-12	4.01E-15	-9.2449727	23.950694	-1.16281629	XR_110530	LOC100507165
26263	3.46E-12	4.25E-15	9.2332844	23.893203	0.69945262	NM_004566	PFKFB3
59093	3.46E-12	4.29E-15	9.231424	23.884053	1.22535488	NM_012124	CHORDC1
42652	3.46E-12	4.30E-15	-9.2312578	23.883235	-2.17505938	BX108468	XLOC_006951
6303	3.66E-12	4.61E-15	-9.217444	23.815296	-0.55915579	NM_012260	HACL1
17631	3.96E-12	5.10E-15	-9.1974275	23.716861	-0.67551438	NM_203314	BDH1
34794	3.96E-12	5.13E-15	9.1964187	23.711901	0.88074523	AK091711	ZNF511
30916	4.11E-12	5.39E-15	-9.1865358	23.663306	-2.8191517	NM_004291	CARTPT
4536	4.54E-12	6.03E-15	-9.1646335	23.555622	-0.67664416	NM_207108	ASTN1
1064	4.90E-12	6.60E-15	-9.1467585	23.467751	-0.93681495	NM_144635	FAM131A
19248	5.12E-12	6.98E-15	-9.1357253	23.41352	-0.7348807	NM_018380	DDX28
19208	5.19E-12	7.16E-15	-9.1305579	23.388122	-1.05598301	NM_024958	NRSN2
3880	5.52E-12	7.71E-15	-9.1159843	23.316499	-0.5426949	NM_012260	HACL1
22362	5.65E-12	7.99E-15	-9.1090716	23.282528	-0.72003113	NM_018380	DDX28
45922	5.77E-12	8.25E-15	-9.1025346	23.250406	-0.64419823	NM_000447	PSEN2
62064	6.31E-12	9.14E-15	-9.0824869	23.151904	-0.76168633	NM_144596	TTC8
3724	6.38E-12	9.44E-15	-9.0760437	23.12025	-0.67278502	NM_023039	ANKRA2
