sampleName,,condition
GSM3577742,,DIS
GSM3577625,,DIS
GSM3577618,,DIS
GSM3577832,,DIS
GSM3577705,,DIS
GSM3577821,,DIS
GSM3577697,,DIS
GSM3577650,,DIS
GSM3577694,,DIS
GSM3577753,,DIS
GSM3577802,,DIS
GSM3577750,,DIS
GSM3577605,,DIS
GSM3577598,,DIS
GSM3577656,,DIS
GSM3577660,,DIS
GSM3577799,,DIS
GSM3577853,,DIS
GSM3577704,,DIS
GSM3577677,,DIS
GSM3577830,,DIS
GSM3577796,,DIS
GSM3577834,,DIS
GSM3577772,,DIS
GSM3577628,,DIS
GSM3577577,,DIS
GSM3577693,,DIS
GSM3577841,,DIS
GSM3577680,,DIS
GSM3577670,,DIS
GSM3577662,,DIS
GSM3577757,,DIS
GSM3577621,,DIS
GSM3577846,,DIS
GSM3577800,,DIS
GSM3577590,,DIS
GSM3577769,,DIS
GSM3577617,,DIS
GSM3577706,,DIS
GSM3577838,,DIS
GSM3577782,,DIS
GSM3577633,,DIS
GSM3577823,,DIS
GSM3577827,,DIS
GSM3577809,,DIS
GSM3577790,,DIS
GSM3577568,,DIS
GSM3577765,,DIS
GSM3577820,,DIS
GSM3577785,,DIS
GSM3577658,,DIS
GSM3577852,,DIS
GSM3577652,,DIS
GSM3577579,,DIS
GSM3577576,,DIS
GSM3577748,,DIS
GSM3577712,,DIS
GSM3577807,,DIS
GSM3577640,,DIS
GSM3577659,,DIS
GSM3577669,,DIS
GSM3577636,,DIS
GSM3577585,,DIS
GSM3577773,,DIS
GSM3577611,,DIS
GSM3577813,,DIS
GSM3577619,,DIS
GSM3577771,,DIS
GSM3577743,,DIS
GSM3577695,,DIS
GSM3577759,,DIS
GSM3577648,,DIS
GSM3577679,,DIS
GSM3577855,,DIS
GSM3577623,,DIS
GSM3577842,,DIS
GSM3577601,,DIS
GSM3577668,,DIS
GSM3577654,,DIS
GSM3577848,,DIS
GSM3577696,,DIS
GSM3577797,,DIS
GSM3577653,,DIS
GSM3577739,,DIS
GSM3577817,,DIS
GSM3577756,,DIS
GSM3577803,,DIS
GSM3577573,,DIS
GSM3577733,,DIS
GSM3577856,,DIS
GSM3577746,,DIS
GSM3577638,,DIS
GSM3577708,,DIS
GSM3577666,,DIS
GSM3577684,,DIS
GSM3577602,,DIS
GSM3577730,,DIS
GSM3577627,,DIS
GSM3577596,,DIS
GSM3577701,,DIS
GSM3577676,,DIS
GSM3577582,,DIS
GSM3577723,,DIS
GSM3577597,,DIS
GSM3577711,,DIS
GSM3577763,,DIS
GSM3577643,,DIS
GSM3577610,,DIS
GSM3577776,,DIS
GSM3577833,,DIS
GSM3577634,,DIS
GSM3577649,,DIS
GSM3577570,,DIS
GSM3577814,,DIS
GSM3577837,,DIS
GSM3577755,,DIS
GSM3577729,,DIS
GSM3577616,,DIS
GSM3577593,,DIS
GSM3577592,,DIS
GSM3577811,,DIS
GSM3577608,,DIS
GSM3577806,,DIS
GSM3577612,,DIS
GSM3577692,,DIS
GSM3577826,,DIS
GSM3577784,,DIS
GSM3577722,,DIS
GSM3577728,,DIS
GSM3577822,,DIS
GSM3577615,,DIS
GSM3577788,,DIS
GSM3577736,,DIS
GSM3577575,,DIS
GSM3577815,,DIS
GSM3577805,,DIS
GSM3577770,,DIS
GSM3577665,,DIS
GSM3577754,,DIS
GSM3577801,,DIS
GSM3577574,,DIS
GSM3577620,,DIS
GSM3577825,,DIS
GSM3577606,,DIS
GSM3577571,,DIS
GSM3577632,,DIS
GSM3577586,,DIS
GSM3577581,,DIS
GSM3577600,,DIS
GSM3577835,,DIS
GSM3577645,,DIS
GSM3577774,,DIS
GSM3577721,,DIS
GSM3577702,,DIS
GSM3577751,,DIS
GSM3577764,,DIS
GSM3577816,,DIS
GSM3577713,,DIS
GSM3577718,,DIS
GSM3577569,,DIS
GSM3577844,,DIS
GSM3577646,,DIS
GSM3577664,,DIS
GSM3577716,,DIS
GSM3577707,,DIS
GSM3577572,,DIS
GSM3577626,,DIS
GSM3577824,,DIS
GSM3577798,,DIS
GSM3577639,,DIS
GSM3577588,,DIS
GSM3577808,,DIS
GSM3577724,,DIS
GSM3577594,,DIS
GSM3577578,,DIS
GSM3577747,,DIS
GSM3577719,,DIS
GSM3577688,,DIS
GSM3577758,,DIS
GSM3577609,,DIS
GSM3577737,,DIS
GSM3577613,,DIS
GSM3577673,,DIS
GSM3577829,,DIS
GSM3577607,,DIS
GSM3577839,,DIS
GSM3577804,,DIS
GSM3577674,,DIS
GSM3577781,,DIS
GSM3577631,,DIS
GSM3577725,,DIS
GSM3577727,,DIS
GSM3577726,,DIS
GSM3577591,,DIS
GSM3577818,,DIS
GSM3577854,,DIS
GSM3577734,,DIS
GSM3577783,,DIS
GSM3577831,,DIS
GSM3577780,,DIS
GSM3577760,,DIS
GSM3577667,,DIS
GSM3577828,,DIS
GSM3577698,,DIS
GSM3577791,,DIS
GSM3577845,,DIS
GSM3577683,,DIS
GSM3577690,,DIS
GSM3577687,,DIS
GSM3577720,,DIS
GSM3577768,,DIS
GSM3577766,,DIS
GSM3577630,,DIS
GSM3577732,,DIS
GSM3577675,,DIS
GSM3577795,,DIS
