ID	adj.P.Val	P.Value	t	B	logFC	Gene
A_24_P188800	4.97E-01	2.15E-01	-1.26283098	-5.6069932	-2.08E-01	1-Mar
A_23_P33683	5.84E-01	2.92E-01	-1.06876529	-5.82454213	-1.18E-01	2-Mar
A_23_P321511	2.22E-01	5.41E-02	-1.99110143	-4.50999271	-4.19E-01	3-Mar
A_24_P555473	6.20E-01	3.30E-01	0.98773456	-5.90534894	1.00E-01	3-Mar
A_23_P333228	2.33E-01	5.83E-02	-1.95584655	-4.57253162	-3.99E-01	4-Mar
A_24_P64393	4.16E-01	1.56E-01	-1.44880882	-5.36768373	-1.37E-01	5-Mar
A_23_P110492	4.13E-01	1.54E-01	-1.45769298	-5.35551839	-2.88E-01	6-Mar
A_23_P102242	4.41E-01	1.73E-01	-1.39085497	-5.44541694	-1.59E-01	7-Mar
A_23_P338495	7.19E-01	4.49E-01	0.76507458	-6.09608	7.57E-02	8-Mar
A_23_P47777	9.68E-01	9.11E-01	0.11254532	-6.37977069	1.15E-02	9-Mar
A_23_P337899	5.87E-01	2.95E-01	1.06207206	-5.83144352	2.16E-01	10-Mar
A_24_P33508	2.23E-01	5.42E-02	-1.9905121	-4.51104545	-4.25E-01	11-Mar
A_23_P21057	2.13E-01	5.05E-02	-2.02315435	-4.4523637	-4.04E-01	1-Sep
A_33_P3347772	3.73E-02	3.29E-03	3.1486662	-2.02742676	1.81E-01	2-Sep
A_23_P170839	3.18E-01	9.81E-02	-1.69807962	-5.00185758	-2.45E-01	2-Sep
A_24_P43092	6.56E-01	3.70E-01	-0.90745267	-5.9794571	-1.11E-01	2-Sep
A_23_P211572	2.44E-01	6.29E-02	-1.91938748	-4.63626258	-2.84E-01	3-Sep
A_23_P503127	3.07E-01	9.24E-02	-1.72909826	-4.95286652	-2.67E-01	3-Sep
A_23_P207003	6.92E-01	4.14E-01	-0.82568936	-6.04876335	-2.00E-01	4-Sep
A_33_P3329686	9.48E-03	4.27E-04	-3.88033502	-0.13646449	-7.01E-01	5-Sep
A_23_P22614	7.62E-01	5.07E-01	0.66956354	-6.16354092	6.78E-02	6-Sep
A_33_P3243554	8.75E-01	7.02E-01	-0.38554369	-6.31199209	-4.48E-02	6-Sep
A_23_P8482	3.25E-02	2.67E-03	-3.22692415	-1.834584	-4.77E-01	7-Sep
A_24_P291973	5.89E-02	6.60E-03	-2.88329845	-2.6610791	-2.99E-01	7-Sep
