"","Gene","logFC","padj"
"1","ENSG00000229807",8.3051208448211,0
"2","ENSG00000114374",-7.56361980289699,1.08289356833799e-67
"3","ENSG00000233864",-6.20515366750963,7.53946920643544e-54
"4","ENSG00000012817",-6.4244444875272,3.94930380140226e-50
"5","ENSG00000234449",-4.261662408407,3.95454724678032e-49
"6","ENSG00000165246",-5.87791987873155,3.05217724138559e-42
"7","ENSG00000270906",-3.06265829947835,1.12687942323056e-34
"8","ENSG00000165507",-0.667654936477458,6.14507411431176e-34
"9","ENSG00000271687",6.0804014919998,1.33184067616366e-27
"10","ENSG00000131002",-5.17086200350837,1.98336671106271e-27
"11","ENSG00000244734",1.98891197444943,1.98336671106271e-27
"12","ENSG00000228065",-2.97932779888089,5.2664461452726e-26
"13","ENSG00000263503",-1.22310136459599,7.17253604609807e-26
"14","ENSG00000264204",-4.91460664847787,8.53319304919943e-26
"15","ENSG00000129824",-4.90849812083275,4.79062719092528e-25
"16","ENSG00000163638",-0.304688906905716,1.08302983573291e-24
"17","ENSG00000214425",4.54523473704499,1.48299048291682e-24
"18","ENSG00000183878",-4.72270469287624,3.30022901310244e-24
"19","ENSG00000135926",0.459560035467862,2.62167189383116e-23
"20","ENSG00000067057",1.12211941340739,4.33778891119998e-20
"21","ENSG00000182541",-0.282378659751818,1.0104651657297e-19
"22","ENSG00000128016",0.631555714771749,5.99312305882223e-19
"23","ENSG00000168710",-0.0695276855819509,1.59754631853001e-18
"24","ENSG00000115602",0.419312605006753,2.49955977638253e-18
"25","ENSG00000064886",4.17910877309116,4.1681579712578e-18
"26","ENSG00000099725",-5.31783936160544,1.54562988516219e-17
"27","ENSG00000138078",0.00583502738627606,2.14082310830862e-17
"28","ENSG00000196436",0.0996748745042899,3.30140835003276e-17
"29","ENSG00000163739",4.18289820822139,5.25044828111018e-17
"30","ENSG00000214688",-0.027049994011881,4.39972496593932e-16
"31","ENSG00000213760",-0.294889644667533,5.3189436599488e-16
"32","ENSG00000196136",0.116700502471684,5.97780878050883e-16
"33","ENSG00000160691",-0.202431927044077,8.81357863351729e-16
"34","ENSG00000246731",-0.363769580492641,8.81357863351729e-16
"35","ENSG00000197728",2.37108149337238,1.24151242539458e-15
"36","ENSG00000206172",1.80957598728743,1.42679670685783e-15
"37","ENSG00000242086",-1.24562484527332,1.43038437943994e-15
"38","ENSG00000182600",-0.949671177780012,5.05176352555446e-15
"39","ENSG00000158859",0.565788764244922,5.895288585862e-15
"40","ENSG00000116661",0.245309580383644,6.28407361106895e-15
"41","ENSG00000168077",-0.128056597907911,8.36744690399392e-15
"42","ENSG00000203663",-5.25879156973079,8.83457247106143e-15
"43","ENSG00000265972",0.645880593144866,8.83457247106143e-15
"44","ENSG00000102287",-1.03469474153355,8.8805081555927e-15
"45","ENSG00000227827",-3.7694796931271,8.8805081555927e-15
"46","ENSG00000241859",-4.43998626413943,1.28154832880859e-14
"47","ENSG00000282508",-0.517071221014026,1.68722007086877e-14
"48","ENSG00000119408",-0.405893047197743,1.93364917942928e-14
"49","ENSG00000163431",2.05897540567181,1.93364917942928e-14
"50","ENSG00000065559",0.108814698145338,1.94212333250763e-14
"51","ENSG00000108342",2.91283225333352,3.69287312562773e-14
"52","ENSG00000171903",-0.0624060576939995,4.26994051611177e-14
"53","ENSG00000185033",0.0790927142857568,6.6657998439958e-14
"54","ENSG00000077238",-0.503189690114514,7.73720101725005e-14
"55","ENSG00000185189",-0.297948786744891,8.17985798182282e-14
"56","ENSG00000277150",0.649681111049786,1.14842207044857e-13
"57","ENSG00000162188",-0.313638383877116,2.08159860636124e-13
"58","ENSG00000204580",0.41404008616417,2.16611865809776e-13
"59","ENSG00000159403",0.744088951980719,2.23738994762335e-13
"60","ENSG00000132164",-0.878777292339649,3.63394949489393e-13
"61","ENSG00000159388",0.564838509003074,3.73003621605292e-13
"62","ENSG00000157110",0.569566505984097,4.42717150865183e-13
"63","ENSG00000149925",0.371800323842118,6.36958919535761e-13
"64","ENSG00000134531",-0.0214097566483296,8.10715888052975e-13
"65","ENSG00000124762",-0.00849523346755745,1.01092997597223e-12
"66","ENSG00000141753",-0.641861569404458,1.17617845712652e-12
"67","ENSG00000142102",-1.3993195641918,1.3549710695016e-12
"68","ENSG00000187189",-0.578646833494369,2.43527505647819e-12
"69","ENSG00000158769",0.719867751763939,3.43001800429566e-12
"70","ENSG00000175928",0.20199761732194,3.80394570778795e-12
"71","ENSG00000087086",-0.55854990039855,4.24184044518674e-12
"72","ENSG00000103260",-0.868114769227141,4.50122279736171e-12
"73","ENSG00000250571",-1.52196069346477,4.75484366057647e-12
"74","ENSG00000089157",-0.620754307188622,4.99856580402414e-12
"75","ENSG00000224769",-2.60660439872819,4.99856580402414e-12
"76","ENSG00000105649",-0.161112273133717,6.01362072332452e-12
"77","ENSG00000158560",0.0198472918566763,6.72845904122253e-12
"78","ENSG00000214870",-1.74321044253627,6.75529021128285e-12
"79","ENSG00000177954",-0.538688582494306,7.02162823592233e-12
"80","ENSG00000205517",-0.742639343877252,9.70715265111089e-12
"81","ENSG00000129467",-0.55768614918725,1.37006891525143e-11
"82","ENSG00000115561",-0.0207977118944174,1.61336455336031e-11
"83","ENSG00000180776",-0.162223624687902,1.61336455336031e-11
"84","ENSG00000106628",-0.129393240231543,1.65948843829821e-11
"85","ENSG00000111262",-0.159532001212614,2.43156918039589e-11
"86","ENSG00000115594",-0.905226606669791,3.02681680795734e-11
"87","ENSG00000148411",-0.54685810146726,3.07386130210155e-11
"88","ENSG00000211445",0.686525883236797,3.07386130210155e-11
"89","ENSG00000158457",-0.991200978366484,3.21837540799188e-11
"90","ENSG00000101079",0.141340373237907,5.05756867282285e-11
"91","ENSG00000166963",-0.315963678359657,5.12934470692071e-11
"92","ENSG00000184489",-0.494105776132069,5.25280251732274e-11
"93","ENSG00000089693",0.13424630818316,5.48230378601005e-11
"94","ENSG00000011465",1.33591997359245,5.50532110898805e-11
"95","ENSG00000137285",0.749245979504887,5.70401698765379e-11
"96","ENSG00000248508",0.0465660358453938,5.92868099931267e-11
"97","ENSG00000152932",0.766779301763669,6.64209018118222e-11
"98","ENSG00000231840",-0.353054285799096,7.59592005878024e-11
"99","ENSG00000160271",-0.299172716573037,7.69618171084357e-11
"100","ENSG00000167470",0.155458245713797,7.69618171084357e-11
"101","ENSG00000100336",-1.2991935902804,8.36085916018584e-11
"102","ENSG00000148798",-0.458453307616698,8.65392373866015e-11
"103","ENSG00000144959",-0.325046450798664,9.25715441265625e-11
"104","ENSG00000130226",-0.41586644322216,9.81548824278027e-11
"105","ENSG00000111907",0.951128751032638,1.10018408278663e-10
"106","ENSG00000188643",-0.147996318692126,1.10018408278663e-10
"107","ENSG00000152117",-1.68825600416859,1.12209052849097e-10
"108","ENSG00000214717",-1.22126096669062,1.13960322125489e-10
"109","ENSG00000138814",-0.427453694726368,1.4173983868024e-10
"110","ENSG00000226752",-0.970539182699092,1.45987614631086e-10
"111","ENSG00000184368",-0.206257288094513,1.50321889399846e-10
"112","ENSG00000101040",0.218698437914059,1.90376577890305e-10
"113","ENSG00000179776",0.896469243695842,2.07397054361254e-10
"114","ENSG00000197182",-0.635723508902035,2.08496289980535e-10
"115","ENSG00000142192",0.0998677034382898,2.24498496906027e-10
"116","ENSG00000135472",0.0392160339701472,2.30952741979118e-10
"117","ENSG00000111321",0.0402476459784985,2.42336449624466e-10
"118","ENSG00000213694",0.642016728989903,2.66128754491199e-10
"119","ENSG00000131042",0.350553696439188,2.67504877478571e-10
"120","ENSG00000105409",-0.512056831512062,2.93396929174832e-10
"121","ENSG00000144749",-0.617638942533884,3.02816656154817e-10
"122","ENSG00000197622",0.0357251417299945,3.13992424561155e-10
"123","ENSG00000204592",0.0354141418673254,3.13992424561155e-10
"124","ENSG00000237492",-4.11157757026634,3.19484906987862e-10
"125","ENSG00000168028",-0.494625865861827,3.69229900462177e-10
"126","ENSG00000159164",-0.550197166398632,3.9455181944651e-10
"127","ENSG00000125691",-0.177937583522591,4.05404296628899e-10
"128","ENSG00000160991",0.459963812134041,4.85802812483572e-10
"129","ENSG00000106236",2.13738429137178,4.92152612232899e-10
"130","ENSG00000130055",-0.325375713899889,4.9934270369794e-10
"131","ENSG00000157600",-1.27734127456402,4.9934270369794e-10
