"","Gene","logFC","padj"
"1","ENSG00000229807",8.3051208448211,0
"2","ENSG00000114374",-7.56361980289699,1.08289356833799e-67
"3","ENSG00000233864",-6.20515366750963,7.53946920643544e-54
"4","ENSG00000012817",-6.4244444875272,3.94930380140226e-50
"5","ENSG00000234449",-4.261662408407,3.95454724678032e-49
"6","ENSG00000165246",-5.87791987873155,3.05217724138559e-42
"7","ENSG00000270906",-3.06265829947835,1.12687942323056e-34
"8","ENSG00000165507",-0.667654936477458,6.14507411431176e-34
"9","ENSG00000271687",6.0804014919998,1.33184067616366e-27
"10","ENSG00000131002",-5.17086200350837,1.98336671106271e-27
"11","ENSG00000244734",1.98891197444943,1.98336671106271e-27
"12","ENSG00000228065",-2.97932779888089,5.2664461452726e-26
"13","ENSG00000263503",-1.22310136459599,7.17253604609807e-26
"14","ENSG00000264204",-4.91460664847787,8.53319304919943e-26
"15","ENSG00000129824",-4.90849812083275,4.79062719092528e-25
"16","ENSG00000214425",4.54523473704499,1.48299048291682e-24
"17","ENSG00000183878",-4.72270469287624,3.30022901310244e-24
"18","ENSG00000067057",1.12211941340739,4.33778891119998e-20
"19","ENSG00000128016",0.631555714771749,5.99312305882223e-19
"20","ENSG00000064886",4.17910877309116,4.1681579712578e-18
"21","ENSG00000099725",-5.31783936160544,1.54562988516219e-17
"22","ENSG00000163739",4.18289820822139,5.25044828111018e-17
"23","ENSG00000197728",2.37108149337238,1.24151242539458e-15
"24","ENSG00000206172",1.80957598728743,1.42679670685783e-15
"25","ENSG00000242086",-1.24562484527332,1.43038437943994e-15
"26","ENSG00000182600",-0.949671177780012,5.05176352555446e-15
"27","ENSG00000158859",0.565788764244922,5.895288585862e-15
"28","ENSG00000203663",-5.25879156973079,8.83457247106143e-15
"29","ENSG00000265972",0.645880593144866,8.83457247106143e-15
"30","ENSG00000102287",-1.03469474153355,8.8805081555927e-15
"31","ENSG00000227827",-3.7694796931271,8.8805081555927e-15
"32","ENSG00000241859",-4.43998626413943,1.28154832880859e-14
"33","ENSG00000282508",-0.517071221014026,1.68722007086877e-14
"34","ENSG00000163431",2.05897540567181,1.93364917942928e-14
"35","ENSG00000108342",2.91283225333352,3.69287312562773e-14
"36","ENSG00000077238",-0.503189690114514,7.73720101725005e-14
"37","ENSG00000277150",0.649681111049786,1.14842207044857e-13
"38","ENSG00000159403",0.744088951980719,2.23738994762335e-13
"39","ENSG00000132164",-0.878777292339649,3.63394949489393e-13
"40","ENSG00000159388",0.564838509003074,3.73003621605292e-13
"41","ENSG00000157110",0.569566505984097,4.42717150865183e-13
"42","ENSG00000141753",-0.641861569404458,1.17617845712652e-12
"43","ENSG00000142102",-1.3993195641918,1.3549710695016e-12
"44","ENSG00000187189",-0.578646833494369,2.43527505647819e-12
"45","ENSG00000158769",0.719867751763939,3.43001800429566e-12
"46","ENSG00000087086",-0.55854990039855,4.24184044518674e-12
"47","ENSG00000103260",-0.868114769227141,4.50122279736171e-12
"48","ENSG00000250571",-1.52196069346477,4.75484366057647e-12
"49","ENSG00000089157",-0.620754307188622,4.99856580402414e-12
"50","ENSG00000224769",-2.60660439872819,4.99856580402414e-12
"51","ENSG00000214870",-1.74321044253627,6.75529021128285e-12
"52","ENSG00000177954",-0.538688582494306,7.02162823592233e-12
"53","ENSG00000205517",-0.742639343877252,9.70715265111089e-12
"54","ENSG00000129467",-0.55768614918725,1.37006891525143e-11
"55","ENSG00000115594",-0.905226606669791,3.02681680795734e-11
"56","ENSG00000148411",-0.54685810146726,3.07386130210155e-11
"57","ENSG00000211445",0.686525883236797,3.07386130210155e-11
"58","ENSG00000158457",-0.991200978366484,3.21837540799188e-11
"59","ENSG00000011465",1.33591997359245,5.50532110898805e-11
"60","ENSG00000137285",0.749245979504887,5.70401698765379e-11
"61","ENSG00000152932",0.766779301763669,6.64209018118222e-11
"62","ENSG00000100336",-1.2991935902804,8.36085916018584e-11
"63","ENSG00000111907",0.951128751032638,1.10018408278663e-10
"64","ENSG00000152117",-1.68825600416859,1.12209052849097e-10
"65","ENSG00000214717",-1.22126096669062,1.13960322125489e-10
"66","ENSG00000226752",-0.970539182699092,1.45987614631086e-10
"67","ENSG00000179776",0.896469243695842,2.07397054361254e-10
"68","ENSG00000197182",-0.635723508902035,2.08496289980535e-10
"69","ENSG00000213694",0.642016728989903,2.66128754491199e-10
"70","ENSG00000105409",-0.512056831512062,2.93396929174832e-10
"71","ENSG00000144749",-0.617638942533884,3.02816656154817e-10
"72","ENSG00000237492",-4.11157757026634,3.19484906987862e-10
"73","ENSG00000159164",-0.550197166398632,3.9455181944651e-10
"74","ENSG00000106236",2.13738429137178,4.92152612232899e-10
"75","ENSG00000157600",-1.27734127456402,4.9934270369794e-10
"76","ENSG00000168899",1.01708802565621,5.01991718848054e-10
"77","ENSG00000124193",-1.11596897167376,6.89852241607673e-10
"78","ENSG00000228408",1.85010822641643,8.21796741915115e-10
"79","ENSG00000121900",-0.714132131483724,8.50579059264169e-10
"80","ENSG00000264057",-1.30442027503655,9.5649482200854e-10
"81","ENSG00000262902",-1.36105584721544,1.08719460662073e-09
"82","ENSG00000160221",-2.47127650933035,1.11822825750445e-09
"83","ENSG00000169668",-2.3240677945375,1.14763173838805e-09
"84","ENSG00000279263",-4.12807053159433,1.45408597053303e-09
"85","ENSG00000012223",4.8714159620857,1.56744712266894e-09
"86","ENSG00000237973",-1.1349275008692,1.56744712266894e-09
"87","ENSG00000149658",-0.55857232503972,2.52618981803669e-09
"88","ENSG00000143036",-0.965888659386936,2.86931435816405e-09
"89","ENSG00000228998",-2.79083561384604,3.14564557985066e-09
"90","ENSG00000215030",-2.97239930107302,3.51007465117315e-09
"91","ENSG00000270021",-1.25911686332701,4.10631526150946e-09
"92","ENSG00000148604",1.59030281038978,4.25708543774434e-09
"93","ENSG00000173267",-0.897389417388647,4.25708543774434e-09
"94","ENSG00000189241",-0.513212443520785,4.62898050330921e-09
"95","ENSG00000206077",-1.12854916266392,4.62898050330921e-09
"96","ENSG00000124374",-0.808204293364721,4.93498837798068e-09
"97","ENSG00000169902",-1.19191312573505,5.36441895186805e-09
"98","ENSG00000128262",-1.56976299298616,6.28116947650164e-09
"99","ENSG00000278925",-1.82013489058998,6.34462300675603e-09
"100","ENSG00000132000",-1.08860365211998,6.67890139665317e-09
"101","ENSG00000102003",-0.784664532404078,7.44339016231079e-09
"102","ENSG00000173548",-0.626628903867127,8.56010931034969e-09
"103","ENSG00000241370",0.803944526480982,9.22134143230877e-09
"104","ENSG00000125851",-0.806054029089867,1.0268380093389e-08
"105","ENSG00000185774",-1.8529803783982,1.1707516246264e-08
"106","ENSG00000262877",-1.2185582881242,1.2264233143954e-08
"107","ENSG00000177706",-1.17249731517572,1.23919758079388e-08
"108","ENSG00000198830",-1.07287623387369,1.37637611004116e-08
"109","ENSG00000270118",-3.0877308851678,1.40420268136906e-08
"110","ENSG00000154319",-1.47549321701933,1.4964315564833e-08
"111","ENSG00000067048",-3.68777159071537,1.52007645693727e-08
"112","ENSG00000175309",-0.598676184410664,1.98719572501758e-08
"113","ENSG00000108106",1.07320760374181,2.00129200404396e-08
"114","ENSG00000198237",2.46442017862471,2.06604764964315e-08
"115","ENSG00000259291",-0.827190909394025,2.3464984380472e-08
"116","ENSG00000226555",-4.18386351782579,2.35626820568511e-08
"117","ENSG00000125503",-1.06706766279184,2.37466797071615e-08
"118","ENSG00000107518",-0.847421099854759,2.46079700003682e-08
"119","ENSG00000161958",-0.954589287325342,2.52490649208453e-08
"120","ENSG00000240409",-1.52652222169631,2.65761094052816e-08
"121","ENSG00000166091",0.708479507638259,2.77619135830595e-08
"122","ENSG00000271984",2.08277411055434,2.89595983150669e-08
"123","ENSG00000168918",1.09053140984835,3.39525527533439e-08
"124","ENSG00000213462",-0.768252358346589,4.09530815319723e-08
"125","ENSG00000010379",2.03191049202223,4.54078748518848e-08
"126","ENSG00000245958",2.3070239522709,4.91700755376342e-08
"127","ENSG00000116962",1.05926235028867,5.19184904457719e-08
"128","ENSG00000132196",-0.592509033375416,5.19184904457719e-08
"129","ENSG00000248923",-0.771052574852385,5.5658437567569e-08
"130","ENSG00000116729",0.770689728867512,5.67957849837233e-08
"131","ENSG00000120896",-0.516669312681691,6.00960081254726e-08
