"","GSM5800240","GSM5800241","GSM5800242","GSM5800243","GSM5800244","GSM5800245","GSM5800246","GSM5800247","GSM5800248","GSM5800249","GSM5800250","GSM5800251","GSM5800252","GSM5800253","GSM5800254","GSM5800255"
"ENSG00000000003","4","2","0","0","2","1","1","1","0","0","0","1","0","0","1","1"
"ENSG00000000419","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0"
"ENSG00000000457","1","1","1","1","1","1","1","1","1","2","0","1","2","3","2","1"
"ENSG00000000460","1","1","1","1","1","0","1","2","1","2","1","2","1","0","2","1"
"ENSG00000000938","7","7","1","1","2","3","2","3","2","1","2","2","7","5","6","6"
"ENSG00000000971","0","0","0","0","0","0","0","0","1","1","2","2","1","1","2","2"
"ENSG00000001036","2","3","0","0","4","3","5","2","0","0","2","2","3","3","2","1"
"ENSG00000001084"," 2"," 2"," 7"," 7","10"," 7"," 6"," 2"," 1"," 3","19"," 9"," 5","17"," 9"," 9"
"ENSG00000001167","18","16"," 9"," 8","14","11"," 5"," 4"," 6"," 6"," 8"," 8"," 9"," 9","15","15"
"ENSG00000001460","16","15","11","11"," 3"," 3"," 5"," 5","11","10"," 6"," 7"," 2"," 3"," 4"," 4"
"ENSG00000001461","25","21","22","17","11","11","20","19","14","10"," 8"," 8","27","25","39","34"
"ENSG00000001497","28","27","18","16","23","22","17","17","28","26","17","17"," 8"," 8","20","18"
"ENSG00000001561","2","1","1","1","1","0","1","1","1","1","1","1","1","1","4","4"
"ENSG00000001617"," 5"," 4","23","22"," 9"," 6","26","24","13","16"," 8"," 9","19","17","22","15"
"ENSG00000001629"," 7","11","10","11","12","15"," 7"," 8","13","12","10","11","24","28","27","22"
"ENSG00000001630","4","6","9","7","1","1","3","3","3","6","1","1","2","3","4","5"
"ENSG00000001631"," 9"," 6"," 6"," 8"," 1"," 3","13"," 9"," 8"," 8"," 3"," 2"," 4"," 2"," 8"," 6"
"ENSG00000002016"," 8"," 7","14","12"," 1"," 0","13","11"," 6"," 7"," 7"," 5"," 6"," 5"," 6","12"
"ENSG00000002330"," 9"," 9","69","61"," 7"," 8","23","14"," 6"," 6"," 4"," 5","13","10","10","13"
"ENSG00000002549","1","0","0","0","4","4","1","2","3","4","5","2","8","7","6","9"
"ENSG00000002586","246","241"," 41"," 46","102","145"," 96","103"," 43"," 49"," 74"," 95","131","152","159","170"
"ENSG00000002587","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1"
"ENSG00000002746"," 5"," 6","60","49"," 4"," 5","11","14","13","12","25","16"," 2"," 2"," 3"," 3"
"ENSG00000002822"," 6"," 5","21","16"," 8"," 7"," 2"," 1","13"," 9","13"," 8"," 3"," 5"," 6"," 6"
"ENSG00000002834","66","72","24","24","40","39","27","25","42","42","24","20","24","22","29","28"
"ENSG00000002919","2","3","0","0","0","0","1","1","1","1","4","1","1","4","4","3"
"ENSG00000002933","13","17","11","14","10","14","16","18"," 2"," 3"," 4"," 5"," 5"," 5","13","11"
"ENSG00000003056","22","25"," 5"," 4","23","25"," 7"," 5","10","11","10","11"," 7"," 3","18","19"
"ENSG00000003096","3","2","1","1","0","0","0","0","0","0","0","0","1","0","1","0"
"ENSG00000003137"," 3"," 3"," 3"," 4"," 5"," 5"," 7"," 8"," 4"," 4"," 5"," 5","12","14"," 8"," 9"
"ENSG00000003147"," 2"," 2","10"," 8"," 3"," 7"," 1"," 1"," 5"," 4"," 3"," 3"," 0"," 0"," 1"," 1"
"ENSG00000003249","34","31","63","65","47","44","52","40","45","45","34","29","32","22","21","19"
"ENSG00000003393","11","10"," 7"," 7"," 7"," 7"," 2"," 2","10","10","10","12"," 3"," 3"," 9"," 8"
"ENSG00000003400","1","1","0","0","0","0","0","0","0","0","1","1","1","1","2","3"
"ENSG00000003402","16","16"," 8"," 7","18","17"," 9"," 9"," 8"," 9","10"," 9","17","17","21","19"
"ENSG00000003436","0","0","1","1","1","0","0","0","7","5","5","3","2","2","2","2"
"ENSG00000003509","0","0","1","1","0","0","0","0","2","1","4","3","0","0","3","2"
"ENSG00000003756","65","59","25","23","22","21","18","17","27","25","27","23","13","11","56","53"
"ENSG00000003987"," 9"," 8","17","12","12","10","12","10"," 8"," 8"," 8"," 8"," 3"," 4"," 6"," 7"
"ENSG00000003989"," 5"," 5","10"," 9","11","11","11"," 9"," 7"," 6"," 4"," 4"," 4"," 4"," 6"," 5"
"ENSG00000004059","31","24","32","29","10","12","26","23"," 6"," 7","17","15","16","13","12","16"
"ENSG00000004139","17","16","12","12"," 9"," 9"," 9"," 9","13","11"," 7"," 6"," 8"," 8"," 8"," 7"
"ENSG00000004142"," 6"," 5"," 2"," 2","16","14"," 6"," 6","15","12"," 4"," 5"," 8"," 9"," 9"," 7"
"ENSG00000004399"," 52"," 54","115","108"," 58"," 44"," 90"," 80"," 75"," 81"," 44"," 45","103"," 94","172","188"
"ENSG00000004455","89","64","85","76","80","67","47","47","47","45","49","49","49","41","67","66"
"ENSG00000004468","1","1","0","0","1","4","1","1","0","1","0","0","1","1","2","3"
"ENSG00000004478","28","22"," 5"," 6"," 8"," 7"," 8"," 6","10"," 8"," 9"," 9"," 6"," 7","19","22"
"ENSG00000004487","13","13"," 4"," 4"," 6"," 5"," 4"," 3"," 7"," 8"," 6"," 5"," 3"," 3"," 6"," 4"
"ENSG00000004534","18","22","18","16"," 8","10"," 5"," 3","21","19","17","12","13"," 9","21","20"
"ENSG00000004660"," 6"," 5","12","10"," 4"," 3"," 5"," 5"," 2"," 2"," 7"," 6"," 2"," 2"," 2"," 2"
"ENSG00000004700","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"ENSG00000004766","0","0","0","0","2","0","0","1","0","0","1","2","2","1","2","1"
"ENSG00000004776","38","43","15","16","23","27","17","20","15","17","23","28"," 4"," 6","17","18"
"ENSG00000004777","34","33","52","54","70","55","48","39","21","19","13","17","15","29","37","33"
"ENSG00000004779","2","2","2","3","6","6","0","0","0","0","0","0","4","3","4","3"
"ENSG00000004799","78","68","37","35","61","50","37","38","45","39","12","11","36","26","72","65"
"ENSG00000004838","35","32"," 3"," 2"," 1"," 1"," 0"," 0"," 1"," 0"," 2"," 1"," 1"," 1"," 1"," 2"
"ENSG00000004848"," 7"," 6"," 1"," 1"," 3"," 2"," 2"," 2"," 3"," 3","19"," 6"," 0"," 0"," 0"," 0"
"ENSG00000004864"," 3"," 1"," 5"," 2"," 1"," 0"," 4"," 2"," 0"," 0"," 2"," 1"," 4"," 5","17","11"
"ENSG00000004866","13","13"," 4"," 4"," 6"," 5","10"," 9"," 5"," 4","27","25"," 5"," 4"," 6"," 5"
"ENSG00000004897","86","85","13","11","47","59","19","24","67","56","17","18","26","26","54","49"
"ENSG00000004939","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0"
"ENSG00000004948","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000004961","1","1","1","1","1","1","1","1","3","3","1","1","1","1","1","0"
"ENSG00000004975","28","29","22","24","32","33","30","28","19","18","20","20","17","15","17","16"
"ENSG00000005007"," 9","10","18","17"," 4"," 3","17","19"," 7"," 4"," 5"," 5"," 5"," 5"," 8"," 7"
"ENSG00000005020","22","22","17","22","12","15"," 8"," 7"," 6"," 7"," 9","15","10","11","12"," 9"
"ENSG00000005022"," 2"," 3"," 0"," 0"," 9","12"," 8"," 6"," 1"," 2"," 2"," 2"," 5"," 3"," 7"," 3"
"ENSG00000005059","0","0","0","0","1","1","0","0","0","0","0","1","0","0","3","2"
"ENSG00000005075","10","12"," 3"," 3","10","12"," 8"," 8"," 4"," 3"," 4"," 6"," 5"," 8","10","10"
"ENSG00000005100","6","4","8","7","3","2","5","5","2","2","6","5","3","4","5","5"
"ENSG00000005108","1","1","1","0","1","1","1","1","1","1","4","1","4","4","1","1"
"ENSG00000005156","30","28","43","35","15","13","36","34","16","18","14","19"," 5"," 5","17","15"
"ENSG00000005175","0","0","0","0","0","0","0","0","6","7","1","1","1","1","1","1"
"ENSG00000005189","1","1","0","0","0","0","0","0","1","1","0","0","2","0","0","0"
"ENSG00000005194","1","3","2","3","3","2","4","3","3","2","1","1","3","3","5","4"
"ENSG00000005206","23","20","29","22","18","13","26","23","13","13","10"," 9","10"," 8","11","12"
"ENSG00000005238","25","25"," 9"," 8","25","23","18","17","20","18"," 8"," 7","15","14","28","29"
"ENSG00000005243"," 1"," 0"," 5"," 4","12"," 6"," 0"," 1"," 1"," 3"," 1"," 1"," 3"," 3"," 2"," 3"
"ENSG00000005249","2","2","1","1","1","1","1","1","0","0","1","1","1","1","1","1"
"ENSG00000005302","23","17"," 9","12"," 9","14"," 2"," 2"," 6"," 5"," 5"," 5"," 6"," 8","17","14"
"ENSG00000005339","137","132"," 54"," 54","100"," 84"," 47"," 46"," 88"," 80"," 66"," 76"," 33"," 30"," 54"," 44"
"ENSG00000005379","41","41","42","38","57","51","26","28","35","33","39","32","10","16","10"," 9"
"ENSG00000005381"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 1","13"," 7"," 0"," 0"," 0"," 0"," 0"," 0"
"ENSG00000005421","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1"
"ENSG00000005436","1","1","0","0","5","3","1","0","4","4","1","2","2","1","4","2"
"ENSG00000005448","19","13"," 8","13","21","17"," 2"," 3"," 3"," 4"," 4"," 4"," 2"," 2"," 2"," 3"
"ENSG00000005469","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1"
"ENSG00000005483","21","20","11","14","18","20","12","11","22","20","14","14","14"," 9","17","19"
"ENSG00000005486","501","458","184","178","261","252","249","224","128","124","148","123"," 50"," 44"," 95"," 86"
"ENSG00000005513","14","10","11","10","18","14","12","10"," 5"," 5"," 2"," 2","11","11","20","17"
"ENSG00000005700","2","3","6","8","7","7","2","1","4","4","7","8","4","7","4","4"
"ENSG00000005801","6","7","6","5","7","6","1","1","6","7","4","3","4","4","8","8"
"ENSG00000005810","59","57","25","26","55","45","36","32","41","36","43","39","14","18","28","26"
"ENSG00000005812","2","2","1","1","1","1","0","0","1","1","1","1","2","1","1","2"
"ENSG00000005844","1","0","0","0","3","3","0","0","0","0","1","1","2","1","1","1"
"ENSG00000005882","102"," 96"," 48"," 46"," 79"," 89"," 35"," 36"," 59"," 57"," 54"," 53"," 24"," 22"," 63"," 63"
"ENSG00000005884","56","46","21","22","30","36","42","38","30","24","17","18","24","18","13","15"
"ENSG00000005889","6","6","3","3","1","1","2","3","1","1","3","2","3","4","3","2"
"ENSG00000005893","18","12"," 4"," 5","19","19","12","11","13","10"," 8"," 8"," 6"," 6","33","32"
"ENSG00000005961","0","0","1","1","1","1","0","0","1","0","2","4","1","1","4","2"
"ENSG00000005981","0","1","2","2","2","1","2","2","0","0","2","2","2","2","5","4"
"ENSG00000006007"," 4"," 4"," 2"," 2"," 4"," 4"," 8"," 8"," 5"," 5","10"," 6","10","11"," 8"," 8"
"ENSG00000006015"," 6"," 6","17","14","11"," 8"," 2"," 1","11","12","11"," 8"," 5"," 5"," 4"," 4"
"ENSG00000006016","37","39","24","28"," 4"," 3","26","26","11","11"," 6"," 6"," 0"," 0"," 0"," 0"
"ENSG00000006025","18","13","13","13","20","19","13","11","26","23","13","14"," 8"," 8","18","16"
"ENSG00000006042"," 6"," 5"," 4"," 4"," 4"," 4","22","25"," 5"," 7"," 3"," 3","15","13","36","38"
"ENSG00000006047","0","0","0","0","3","1","8","5","4","5","0","0","2","2","0","0"
