"","GSM5800224","GSM5800225","GSM5800226","GSM5800227","GSM5800228","GSM5800229","GSM5800230","GSM5800231","GSM5800232","GSM5800233","GSM5800234","GSM5800235","GSM5800236","GSM5800237","GSM5800238","GSM5800239"
"ENSG00000000003"," 1"," 0"," 0"," 0"," 1"," 0","28","26"," 0"," 0"," 3"," 2"," 3"," 2"," 1"," 4"
"ENSG00000000419","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"ENSG00000000457","1","3","2","1","3","1","0","0","4","2","1","1","4","4","3","3"
"ENSG00000000460","1","1","0","0","1","3","0","0","1","0","1","1","0","1","3","2"
"ENSG00000000938"," 8"," 6"," 7"," 7"," 9"," 6"," 0"," 0"," 5"," 5"," 7"," 8","13","16","16","16"
"ENSG00000000971"," 3"," 2"," 0"," 0"," 3"," 1","70","51"," 2"," 2"," 2"," 2","10"," 7"," 3"," 5"
"ENSG00000001036","0","1","3","1","1","0","0","0","2","3","0","0","7","5","3","5"
"ENSG00000001084","  5","  4"," 16"," 14"," 12","  4","217","191","  2","  2","  0","  0"," 32"," 37"," 38"," 37"
"ENSG00000001167"," 9","13","11","10","10","14","10"," 9","10","11"," 6"," 6","25","24","31","26"
"ENSG00000001460"," 5"," 5","10"," 9"," 5"," 2"," 0"," 0"," 7"," 6"," 6"," 4"," 9","12","14","16"
"ENSG00000001461"," 28"," 24"," 17"," 17"," 16"," 17"," 31"," 29"," 14"," 15"," 17"," 13"," 70"," 77","105"," 97"
"ENSG00000001497","25","23","12","12","20","15"," 8"," 8","18","16","13","12","23","19","17","17"
"ENSG00000001561","5","4","1","1","2","1","0","0","0","0","3","2","7","8","8","8"
"ENSG00000001617","40","22","34","32","27","10"," 0"," 0","30","28","35","31","30","29","21","24"
"ENSG00000001629","35","47","11","13","18","16","25","23","25","24","13","11","51","45","44","47"
"ENSG00000001630"," 0"," 1"," 2"," 2"," 5"," 3"," 0"," 0"," 5"," 3"," 7"," 6","12","10"," 8"," 6"
"ENSG00000001631"," 7","13"," 7"," 6","15"," 6"," 0"," 0"," 7"," 8","11","10"," 9","10","21","18"
"ENSG00000002016"," 6"," 7","10","10"," 5"," 2"," 0"," 0"," 4"," 4","14","12","11"," 6"," 8","13"
"ENSG00000002330"," 9"," 7","35","34","14","28"," 0"," 0","24","24","95","90","30","22","20","19"
"ENSG00000002549"," 0"," 0"," 2"," 3"," 4","11"," 0"," 0","10","10"," 1"," 1","24","26","13","11"
"ENSG00000002586"," 56"," 56"," 40"," 52"," 94","104"," 80"," 80"," 44"," 51"," 17"," 20","137","166","158","190"
"ENSG00000002587","1","1","3","3","3","0","0","0","0","0","1","1","3","3","2","1"
"ENSG00000002746"," 9","11","17","17"," 9"," 8"," 7"," 7","31","23","29","34"," 9","12"," 6"," 5"
"ENSG00000002822"," 6"," 6","19","17"," 6","12"," 0"," 0"," 0"," 0"," 2"," 3","32","32","23","21"
"ENSG00000002834","49","47","24","26","49","42"," 3"," 3","36","36","20","20","57","66","74","75"
"ENSG00000002919","2","0","0","0","5","1","0","0","3","5","2","2","5","4","4","3"
"ENSG00000002933","22","34"," 9","12","21","15"," 0"," 0","15","19","25","21","43","35","32","30"
"ENSG00000003056"," 6"," 3","11"," 9","17","40"," 0"," 0","20","20","12","11","20","24","35","43"
"ENSG00000003096","4","3","1","0","1","1","8","7","0","0","1","0","6","5","2","2"
"ENSG00000003137","1","3","1","1","4","2","0","0","4","4","5","5","9","9","6","8"
"ENSG00000003147","1","1","7","5","3","0","0","0","6","5","5","6","2","5","2","1"
"ENSG00000003249","27","29","26","25","33","33","17","16","71","65","23","24","37","44","33","32"
"ENSG00000003393","13","14"," 3"," 3"," 9","11"," 0"," 0"," 6"," 4"," 6"," 6"," 8"," 9","12","12"
"ENSG00000003400","2","1","1","1","1","0","0","0","1","1","2","2","2","3","3","2"
"ENSG00000003402","27","25","11","11","16","13"," 0"," 0","10","10","11","12","31","30","30","27"
"ENSG00000003436","14","11"," 2"," 1"," 4"," 1"," 0"," 0"," 1"," 1"," 1"," 1"," 4"," 4"," 3"," 3"
"ENSG00000003509","0","0","0","1","1","1","0","0","0","0","1","1","3","2","5","2"
"ENSG00000003756","35","29","22","17","41","33","79","70","36","37","40","46","77","82","76","70"
"ENSG00000003987"," 5"," 7"," 2"," 1"," 7"," 3"," 0"," 0"," 7"," 5","13","10","13","14","18","15"
"ENSG00000003989","17","18"," 9"," 9","19"," 9"," 7"," 7","19","16","11","13"," 8"," 8"," 6"," 6"
"ENSG00000004059","16","16","24","23","30","15"," 0"," 0","34","31","18","18","51","47","21","29"
"ENSG00000004139","12"," 9","10"," 8","13"," 3"," 0"," 0"," 6"," 5"," 7"," 8","18","18","11","12"
"ENSG00000004142"," 7"," 7"," 7"," 6","12"," 6"," 0"," 0","11","12"," 4"," 5","22","17","18","18"
"ENSG00000004399","215","230","191","187"," 91"," 91","131","150","100"," 84"," 97","110","348","386","395","403"
"ENSG00000004455"," 54"," 57"," 67"," 62"," 68"," 65","216","204"," 61"," 48"," 77"," 71","137","128","163","153"
"ENSG00000004468"," 5","10"," 1"," 1"," 1"," 1"," 0"," 0"," 1"," 1"," 0"," 0"," 4"," 5"," 2"," 1"
"ENSG00000004478","20","19","14","10","14"," 9","35","37","16","16"," 5"," 4","30","30","30","33"
"ENSG00000004487","15","14"," 3"," 2"," 6"," 6"," 0"," 0"," 9"," 8","11","11"," 8","11","11","11"
"ENSG00000004534"," 25"," 12","  7","  9"," 20"," 82","103","102"," 25"," 21"," 21"," 20"," 37"," 35"," 28"," 33"
"ENSG00000004660"," 9","10","10"," 8"," 6"," 5","17","13"," 9"," 8","13","14"," 3"," 3"," 2"," 2"
"ENSG00000004700","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1"
"ENSG00000004766","7","8","2","1","4","0","0","0","2","1","5","5","5","5","2","4"
"ENSG00000004776","28","35","23","24","18","21","30","37","26","26","17","17","32","35","46","53"
"ENSG00000004777","44","53","56","63","18","46","76","77","55","46","50","54","52","36","60","55"
"ENSG00000004779"," 0"," 0"," 5"," 5"," 4"," 2"," 0"," 0"," 0"," 0"," 2"," 2","14","19"," 6"," 5"
"ENSG00000004799","247","227","158","137","139"," 79"," 18"," 16","173","160"," 62"," 49","198","171","208","191"
"ENSG00000004838","1","2","1","1","1","0","0","0","0","0","7","7","8","4","2","3"
"ENSG00000004848","3","2","1","1","2","1","0","0","4","3","2","1","0","0","0","0"
"ENSG00000004864"," 3"," 1"," 3"," 3"," 7"," 0"," 0"," 0","10"," 7"," 5"," 5","17","19","16","16"
