ID	adj.P.Val	P.Value	t	B	logFC	Gene	Gene.title
8054439	0.00179	1.57E-07	-7.6689619	7.342392	-1.2250663	ST6GAL2	"ST6 beta-galactoside alpha-2,6-sialyltransferase 2"
7902267	0.00179	1.87E-07	-7.5847408	7.187428	-0.5447449	PIN1P1	"peptidylprolyl cis/trans isomerase, NIMA-interacting 1 pseudogene 1"
7936590	0.00179	1.90E-07	-7.5771007	7.173315	-0.5997534	PRLHR	prolactin releasing hormone receptor
8040265	0.00179	2.57E-07	-7.4318003	6.903117	-0.9897432	KCNF1	potassium voltage-gated channel modifier subfamily F member 1
7964347	0.00179	2.97E-07	7.362438	6.77294	0.587784	NEMP1	nuclear envelope integral membrane protein 1
7894537	0.00179	3.22E-07	7.3240161	6.700501	1.134551		
7937247	0.00223	4.69E-07	-7.1457973	6.361419	-0.5016207	SPRNP1///SYCE1	shadow of prion protein homolog (zebrafish) pseudogene 1///synaptonemal complex central element protein 1
7972297	0.00309	7.43E-07	6.9306634	5.945408	1.0421259	ABCC4	ATP binding cassette subfamily C member 4
8017711	0.00342	9.78E-07	6.8035656	5.696229	0.9602568	GNA13	G protein subunit alpha 13
8055016	0.00342	1.03E-06	6.7793984	5.648565	0.6086173		
8104727	0.00342	1.13E-06	-6.7373844	5.565488	-0.3825867	C4orf46///TOMM7	chromosome 4 open reading frame 46///translocase of outer mitochondrial membrane 7
8034907	0.00342	1.38E-06	-6.6469358	5.38572	-0.8932058	SLC1A6	solute carrier family 1 member 6
8012309	0.00342	1.43E-06	-6.6290505	5.350024	-0.5872823	ALOX12B	"arachidonate 12-lipoxygenase, 12R type"
8058695	0.00342	1.44E-06	6.6263695	5.34467	0.7219167	BARD1	BRCA1 associated RING domain 1
8092707	0.00457	2.18E-06	6.4372922	4.964287	1.6359167	P3H2	prolyl 3-hydroxylase 2
7896420	0.00457	2.36E-06	6.4026089	4.893933	0.814102		
8155849	0.00457	2.36E-06	6.4024109	4.893531	2.1129966	ANXA1	annexin A1
7939642	0.00457	2.47E-06	-6.3821359	4.852321	-0.4547041	CREB3L1	cAMP responsive element binding protein 3 like 1
7986010	0.00486	2.87E-06	6.3139051	4.713199	0.8894014	IQGAP1	IQ motif containing GTPase activating protein 1
7942135	0.00486	3.02E-06	-6.2917634	4.667907	-0.3645578	ANO1	anoctamin 1
8046428	0.00486	3.19E-06	-6.2677628	4.618732	-1.7596156	RAPGEF4	Rap guanine nucleotide exchange factor 4
7970691	0.00486	3.33E-06	-6.2485776	4.579364	-1.8063827	GPR12	G protein-coupled receptor 12
8131550	0.00486	3.36E-06	6.2445508	4.571095	1.8727976	SCIN	scinderin
8132557	0.00507	3.66E-06	6.2064034	4.492638	1.7205119	AEBP1	AE binding protein 1
7910047	0.00515	3.87E-06	-6.1812544	4.440802	-1.3159507	DNAH14	dynein axonemal heavy chain 14
8096004	0.00553	4.32E-06	6.1326596	4.340389	0.8385731	BMP2K	BMP2 inducible kinase
7904340	0.00562	5.20E-06	-6.0497312	4.168271	-0.3465	MAN1A2	mannosidase alpha class 1A member 2
8042439	0.00562	5.68E-06	6.0112593	4.088102	1.4689524	ANTXR1	anthrax toxin receptor 1
8104012	0.00562	5.72E-06	6.0077123	4.0807	0.6670731		
8144758	0.00562	5.86E-06	5.997123	4.058594	0.5033912	ZDHHC2	zinc finger DHHC-type containing 2
8144078	0.00562	5.88E-06	-5.996114	4.056487	-0.5489405	SHH	sonic hedgehog
7939374	0.00562	6.07E-06	5.9815956	4.026151	0.6093861		
8089145	0.00562	6.26E-06	5.9683936	3.998541	1.8426718	ABI3BP	ABI family member 3 binding protein
7937198	0.00562	6.77E-06	-5.9341255	3.926767	-0.6232211		
7899424	0.00562	7.03E-06	-5.9172365	3.891335	-0.5758673	ATPIF1	ATPase inhibitory factor 1
8133961	0.00562	7.48E-06	-5.8901508	3.834434	-1.5941701	RUNDC3B	RUN domain containing 3B
8084832	0.00562	7.54E-06	-5.8868326	3.827456	-0.4399609	PYDC2	pyrin domain containing 2
7917649	0.00562	7.61E-06	5.8825682	3.818487	1.0269677	TGFBR3	transforming growth factor beta receptor 3
8066195	0.00562	7.66E-06	-5.8798865	3.812845	-0.5143878	BLCAP	bladder cancer associated protein
8162940	0.00562	7.73E-06	5.8755446	3.803709	1.4552874	ABCA1	ATP binding cassette subfamily A member 1
8169028	0.00562	7.94E-06	-5.8638118	3.779009	-0.4582483	BEX3	brain expressed X-linked 3
8024829	0.00562	8.06E-06	-5.8575414	3.765801	-0.4982449	MPND	MPN domain containing
8145624	0.00562	8.24E-06	-5.8478677	3.745414	-0.5563605	EXTL3	exostosin like glycosyltransferase 3
8180318	0.00562	8.45E-06	5.8367	3.721864	1.3576259	TGIF1	TGFB induced factor homeobox 1
7937228	0.00562	8.55E-06	-5.8316787	3.71127	-0.615699	SPRN///MTG1	shadow of prion protein homolog (zebrafish)///mitochondrial ribosome associated GTPase 1
8071268	0.00562	8.55E-06	-5.8314724	3.710834	-0.9617823	SEPT5-GP1BB///SEPT5///GP1BB	SEPT5-GP1BB readthrough///septin 5///glycoprotein Ib platelet beta subunit
7904693	0.00562	8.74E-06	5.8219278	3.690688	1.2582874		
8070073	0.00562	8.75E-06	5.8214576	3.689695	2.3673197	C21orf62	chromosome 21 open reading frame 62
7933164	0.00562	8.93E-06	5.8127588	3.671323	0.7553384	HNRNPF	heterogeneous nuclear ribonucleoprotein F
8148517	0.00562	9.02E-06	-5.8080621	3.6614	-1.3821803	ADGRB1	adhesion G protein-coupled receptor B1
8162529	0.00562	9.14E-06	5.8023587	3.649345	0.6760425		
8165752	0.00562	9.26E-06	5.7966218	3.637216	0.9730527	IL3RA	interleukin 3 receptor subunit alpha
8176323	0.00562	9.26E-06	5.7966218	3.637216	0.9730527	IL3RA	interleukin 3 receptor subunit alpha
7991800	0.00562	9.43E-06	-5.7886836	3.620426	-2.0596973	ARHGDIG///ARHGDIG	Rho GDP dissociation inhibitor gamma///Rho GDP dissociation inhibitor gamma
8165794	0.00562	9.45E-06	5.7877964	3.618549	1.0963248	CD99	CD99 molecule
8176360	0.00562	9.45E-06	5.7877964	3.618549	1.0963248	CD99	CD99 molecule
8024768	0.00567	1.01E-05	-5.758128	3.555723	-0.9409796	ANKRD24	ankyrin repeat domain 24
8067722	0.00567	1.02E-05	-5.754709	3.548476	-1.3528435	STMN3	stathmin 3
8119595	0.00567	1.04E-05	-5.7465446	3.531164	-0.4747364	RPL7L1	ribosomal protein L7 like 1
7935810	0.00567	1.10E-05	-5.7237529	3.482792	-0.6037449	NDUFB8	NADH:ubiquinone oxidoreductase subunit B8
7936091	0.00567	1.11E-05	-5.7182972	3.471204	-0.6823537	MIR1307///USMG5	microRNA 1307///up-regulated during skeletal muscle growth 5 homolog (mouse)
8058415	0.00567	1.12E-05	5.7133626	3.460719	0.4912007	INO80D	INO80 complex subunit D
