ID	adj.P.Val	P.Value	t	B	logFC	Gene	Gene.title
40209_at	2.92E-11	2.31E-15	-17.7617233	24.015551	-5.39162058	ICAM5	intercellular adhesion molecule 5
40628_at	6.41E-10	1.02E-13	-14.9790902	20.787005	-3.53383203	AAK1	AP2 associated kinase 1
32266_at	1.01E-07	2.53E-11	-11.5568761	15.806513	-3.51346918	CDH12	cadherin 12
40592_at	1.01E-07	3.20E-11	-11.424252	15.58668	-5.20953014	IDS	iduronate 2-sulfatase
35181_at	1.15E-07	4.55E-11	-11.2300066	15.260713	-5.138332	11-Sep	septin 11
1534_at	1.92E-07	1.11E-10	-10.7469893	14.429152	-1.26793459	IL12RB2	interleukin 12 receptor subunit beta 2
40217_s_at	1.92E-07	1.12E-10	-10.7437729	14.423512	-5.01164889	CDS1	CDP-diacylglycerol synthase 1
31900_at	1.92E-07	1.22E-10	-10.6965406	14.340541	-4.46473224	KCNAB2	potassium voltage-gated channel subfamily A regulatory beta subunit 2
37435_s_at	2.06E-07	1.47E-10	-10.5986837	14.167697	-3.363682	KCNJ6	potassium voltage-gated channel subfamily J member 6
38921_at	4.69E-07	3.71E-10	-10.1139481	13.292519	-2.78861944	PDE1B	phosphodiesterase 1B
959_at	9.15E-07	8.19E-10	-9.713354	12.54491	-4.89883587	CDC42	cell division cycle 42
39577_at	9.15E-07	8.82E-10	-9.6760713	12.474191	-4.22312965	SOSTDC1	sclerostin domain containing 1
33073_at	9.15E-07	9.42E-10	-9.6433498	12.411962	-4.70729435	PAK3	p21 (RAC1) activated kinase 3
1657_at	1.23E-06	1.36E-09	-9.4599866	12.060444	-6.63280535	PTPRR	"protein tyrosine phosphatase, receptor type R"
32552_at	2.02E-06	2.40E-09	-9.1843132	11.522948	-6.81588893	RBP4	retinol binding protein 4
40996_s_at	2.11E-06	2.67E-09	-9.1318273	11.419378	-2.54481835	NEFL	"neurofilament, light polypeptide"
1658_g_at	2.61E-06	3.51E-09	-9.0007935	11.159077	-5.70345065	PTPRR	"protein tyrosine phosphatase, receptor type R"
1557_at	2.61E-06	3.73E-09	-8.9721692	11.101884	-4.52188535	PAK1	p21 (RAC1) activated kinase 1
40382_at	2.69E-06	4.43E-09	-8.8892346	10.935505	-1.36206892	CRH	corticotropin releasing hormone
34686_at	2.69E-06	4.57E-09	-8.8752399	10.907332	-3.43429298	ADCY2	adenylate cyclase 2
34457_at	2.69E-06	4.77E-09	-8.8544162	10.865358	-2.81610512	SLC30A3	solute carrier family 30 member 3
40023_at	2.69E-06	4.89E-09	-8.8426827	10.841679	-3.12623977	BDNF	brain derived neurotrophic factor
33550_at	2.69E-06	5.06E-09	-8.8267715	10.809537	-4.29013559	HTR2C	5-hydroxytryptamine receptor 2C
334_s_at	2.69E-06	5.11E-09	-8.8215142	10.798909	-3.15831259	VIP	vasoactive intestinal peptide
33854_at	3.34E-06	6.91E-09	-8.679698	10.510698	-1.77961274	ATP6V1D	ATPase H+ transporting V1 subunit D
1430_at	3.34E-06	6.93E-09	-8.678644	10.508545	-7.76071836	SST	somatostatin
41355_at	3.34E-06	7.20E-09	-8.6602219	10.470888	-6.08211461	BCL11A	B-cell CLL/lymphoma 11A
33475_at	3.34E-06	7.41E-09	-8.6472	10.44424	-3.11434815	PKP4	plakophilin 4
