"","Gene","logFC","padj"
"1","MT-TN",11.1001981111788,2.54249908356685e-109
"2","LINC01007",-6.69577848016427,4.25535373070787e-89
"3","STAT4",-4.12030370714799,1.63218519203295e-86
"4","ABHD8",-2.10336188668249,1.11197518102798e-66
"5","ATP6V0C",-5.17060061963354,2.49029679134831e-65
"6","C3orf80",-3.77788598833705,4.37159719090641e-61
"7","ANKRD24",-3.29913214026479,4.04075753684476e-60
"8","MAS1",-5.68242357464286,3.91553507736095e-53
"9","RUSC1",-2.06106251112671,7.53820596071344e-53
"10","RPL21P75",-3.38467582581803,1.89443837584354e-50
"11","RELL2",-2.70856298465714,7.12921069682446e-50
"12","LMTK2",-2.18937205100267,2.08551284906081e-49
"13","SPARC",3.79185767911597,2.35806770528586e-49
"14","HSD11B1L",-2.12350236045283,2.50365659376504e-47
"15","ILRUN",-1.44596242756701,3.49824145634436e-47
"16","RN7SL674P",3.08366427162158,8.83741751050591e-47
"17","PRDM2",-1.79779862372003,2.17648165418459e-46
"18","KDELR2",2.11902834834966,2.64327484310642e-45
"19","KLC2",-2.55948399442228,7.04566686891998e-44
"20","MAML2",2.3629081432235,4.46466477494285e-42
"21","RN7SL151P",3.67072793289889,9.82278728499945e-42
"22","NDUFB8",-1.92253940760853,2.49523780473603e-41
"23","CAMKK2",-2.89204761684396,3.68284359143997e-41
"24","VAMP1",-3.16359187819592,3.75833235487027e-41
"25","CABP1-DT",-4.96570093316467,3.97145597962173e-41
"26","SNRPN",-2.71338578336224,6.3219943419725e-41
"27","LMO7",-2.42445949383687,1.77930331829165e-40
"28","NES",4.52439556099691,2.71570656630669e-40
"29","YPEL4",-2.57718118812312,3.26095295928845e-40
"30","ZFYVE27",-1.49365132124967,5.24126262046678e-40
"31","FBXL19",-1.69770455550291,6.77287021402686e-40
"32","RHOBTB2",-2.41153643681271,7.13111143568599e-40
"33","OXR1",-2.12851166470752,7.25715112689581e-40
"34","SLC45A4",-2.48889016999846,8.30712933826613e-40
"35","ITPR1",-2.67832452104149,9.13138361858338e-40
"36","YBX1",2.57390934036622,1.90432684085402e-39
"37","GARNL3",-2.08475813791253,2.44731312610655e-39
"38","SEC61A1",2.01991091727953,2.98231985800214e-39
"39","FBXL2",-2.02091625184935,1.64585768779111e-38
