"","SRR11365272","SRR11365273","SRR11365275","SRR11365277","SRR11365279","SRR11365282","SRR11365284","SRR11365285","SRR11365286","SRR11365287","SRR11365288","SRR11365289","SRR11365291","SRR11365293","SRR11365294","SRR11365296","SRR11365299","SRR11365300","SRR11365301"
"ATAD3B"," 7"," 6","10"," 8","10"," 5"," 3","10"," 7"," 4"," 5"," 5"," 5"," 8"," 7"," 7"," 6"," 8"," 6"
"MTND1P23","0","1","0","0","0","1","1","0","0","0","0","0","0","2","0","0","0","1","1"
"RPL7P7"," 7"," 5"," 4","10","11"," 0"," 6"," 2"," 3"," 4"," 3"," 5"," 9"," 7"," 4","16"," 1","10"," 2"
"MTCO3P12","0","1","1","1","4","1","1","0","1","1","0","3","5","3","1","0","0","2","2"
"PRDM16","3","5","0","1","1","1","4","2","3","1","4","7","6","5","4","3","3","4","2"
"MTND2P28"," 22"," 48"," 47"," 28"," 80"," 40"," 33"," 13"," 15"," 42"," 68","119"," 39","219"," 50"," 22"," 32","150"," 42"
"PEX10","14"," 9","14","16","25","22","12","19"," 8","14","25"," 9","21","12","22","12","11","15"," 9"
"MTCO1P12","  5"," 20","  9","  8"," 12","  9","  8","  5","  4","  8","  8","223","  4"," 31","  9","  7","  6"," 17","  7"
"SKI","39","47","58","63","72","64","40","46","47","33","63","57","49","50","53","32","60","69","22"
"PEX14","10","11"," 8","15","14","11","16"," 8","12","16","15","15","11","15","17","15","14","14"," 9"
"MTATP8P1","1","0","2","0","0","0","1","0","1","0","0","0","1","1","0","0","0","0","1"
"MTCO2P12","  1","  1","  1","  0","  2","  1","  0","  0","  1","  0","  1","  0","147","  4","  1","  1","  0","  1","  0"
"PLCH2"," 1"," 1"," 0"," 1"," 2"," 1"," 3"," 0"," 0"," 6"," 1","12"," 2","10","15"," 5"," 0"," 4"," 0"
"SPSB1","15","27"," 4","24","90","42","17"," 6","67","29","37"," 5","13","13","30","43","34","17","12"
"SLC2A5","10","98","16","56","74","24","13","11","14","16","37","14","62","18","53","50","57","15","11"
"ENO1","276","162","248","435","614","470","643","156","796","374","457","378","391","316","538","665","735","383","773"
"PLEKHM2"," 44"," 51"," 58"," 61"," 88"," 54"," 54"," 55"," 59"," 75"," 79","100"," 56"," 84"," 68"," 55"," 58"," 83"," 56"
"RPL22P3","11"," 7"," 4"," 4"," 6"," 4"," 5"," 3"," 2"," 4"," 0"," 6"," 3"," 3"," 8"," 9"," 4"," 2"," 1"
"NMNAT1","10","11"," 6","11","12"," 9"," 9"," 5"," 7","10","11"," 7"," 9"," 9"," 8","10"," 8"," 8"," 8"
"MTATP6P1"," 48","192","111"," 75","226","153","171"," 58"," 32","131","220","212"," 77","603","145"," 82"," 59","380","107"
"MFFP1","3","4","3","3","5","3","0","3","0","3","5","1","2","5","4","1","3","2","1"
"PGAM1P11","1","3","2","1","5","1","0","0","2","1","0","0","0","2","2","0","1","2","1"
"CHD5","  2","  1","  0","  1","  3","  0"," 11","  0","  1","  2","  2","113","  4"," 62","  4","  2","  1"," 27","  1"
"DISP3"," 3"," 1"," 3"," 4","10"," 2"," 5"," 8"," 0"," 0"," 0","12","16","17"," 7"," 5"," 1","10"," 3"
"MMEL1","1","2","0","2","1","0","1","2","1","5","1","1","1","0","1","3","0","1","0"
"TMEM51","17","15","16","21","17","20","14","11"," 8","27","22"," 5","16","11","27","17","18","25","24"
"WASH9P","6","2","6","5","5","6","8","4","9","3","8","3","3","7","6","3","3","5","4"
"FBXO42","15","15","20","21","24","12","21","22","28","14","15","17","19","21","19","23","18","20","21"
"ALDH4A1"," 53"," 52"," 52"," 44"," 52"," 17"," 27"," 84"," 14"," 35"," 58"," 47","100"," 59"," 61"," 49"," 10"," 73"," 38"
"RERE","26","29","20","34","40","19","36","16","27","20","23","52","33","57","32","32","19","43","13"
"CLCN6","13","15","21","21","31","10","26","13","18","17","19","29","23","30","30","19","15","23"," 9"
"CELA2A","0","0","1","0","1","0","1","1","1","0","0","1","0","0","0","0","0","1","0"
"CELA2B","0","1","1","1","2","0","0","2","2","0","0","2","0","2","1","1","0","2","0"
"RER1","36","33","44","40","44","51","39","51","36","49","45","24","45","28","39","46","39","38","28"
"PANK4","11","10","12","10","15"," 9","13","12","11"," 9","12","13"," 9","15","10","12","10","15"," 9"
"VPS13D","41","44","46","42","55","24","37","37","43","40","35","76","43","54","46","45","32","50","43"
"HTR6","0","1","0","0","1","0","1","0","0","0","0","2","0","1","0","1","1","0","0"
"RBP7"," 1"," 6"," 3"," 3"," 4"," 3"," 3"," 0"," 1","17"," 3"," 6"," 3"," 8","14","10"," 0"," 5"," 0"
"GPR157","1","3","0","2","2","2","2","1","4","2","3","1","1","1","1","2","3","3","3"
"ZBTB40","19","20","19","23","28","13","17","36","16","19","19","15","16","22","22","26","12","20","18"
"ENO1-AS1","3","3","1","2","5","0","1","0","1","0","0","0","2","1","0","0","2","1","1"
"NPHP4"," 3"," 5"," 4"," 5"," 9"," 2"," 7"," 5"," 4"," 4"," 4","10"," 6"," 8"," 6"," 6"," 3"," 5"," 3"
"HES5"," 9"," 0"," 1"," 4","22"," 1","14","31"," 2"," 0"," 0","11"," 7","43","33","18"," 0"," 6"," 7"
"MT1XP1","6","0","5","1","3","4","6","5","8","2","3","0","2","4","3","5","5","4","8"
"CLIC4"," 571"," 378"," 398"," 505"," 725","1197"," 436"," 540"," 611","1000","1301"," 143"," 857"," 152"," 578"," 466"," 444"," 558"," 537"
"SZRD1","32","30","44","37","55","35","30","44","29","47","38","17","41","32","40","45","38","35","49"
"PDIK1L","25","11","17","19","21","17","23","37","22","17","12","18","29","23","20","26","12","18","32"
"NECAP2","30","34","26","38","47","31","26","59","23","55","48","12","39","23","37","36","35","28","31"
"IGSF21-AS1","0","6","2","0","8","3","5","2","0","3","1","5","1","7","2","3","2","4","0"
"MICOS10-DT","3","1","0","3","0","0","1","1","2","0","0","0","0","0","1","1","0","0","1"
"LAPTM5"," 93","261"," 99","328","322","256","102"," 50"," 79","542","311"," 43","263"," 53","205","218","391"," 91"," 54"
"SLC30A2","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0"
"PHACTR4","21","21","18","25","32","18","24","21","16","19","22"," 9","19","26","22","26"," 9","28","16"
"CNKSR1","1","0","1","1","3","0","1","2","1","0","0","1","1","3","2","2","0","1","1"
"FAM110D","3","2","1","1","2","1","1","1","0","2","1","1","1","1","1","1","0","1","1"
"ICMT","46","40","28","42","49","44","26","38","15","38","56","42","49","32","36","54","47","43","34"
"MED18"," 9"," 9"," 9","15","15","15","11","12","13","15","16"," 7"," 9"," 8","11","19","10","11","15"
"MMEL1-AS1","1","1","3","1","0","0","2","9","1","1","0","2","0","2","3","1","1","1","0"
"SLC9A1"," 6","10","11","11","19","16","13"," 5"," 7","11","18","19"," 9","14","13"," 6"," 8","18"," 7"
"LDLRAP1"," 5"," 7"," 5"," 5"," 6"," 7"," 4"," 5"," 3","13"," 5"," 5"," 3"," 9","24"," 9"," 4"," 6"," 3"
"RNF207-AS1","0","0","0","1","0","0","0","0","0","1","0","2","0","1","0","0","9","0","0"
"ATP5IF1","40","26","35","35","46","48","43","50","23","38","45","48","36","48","37","60","17","41","55"
"SDC3","196","208","310","183","319","135","243","416"," 78","207","243","121","203","239","222","164"," 87","296","260"
"PAFAH2"," 9","15","19","17","23","17","13","19","11","17","24"," 9","18","12","18","17"," 7","10","20"
"DNAJC8"," 73"," 49"," 59"," 69"," 84"," 81"," 60","122"," 90"," 72"," 83"," 67"," 69"," 67"," 71"," 95"," 41"," 71","111"
"SESN2","12","18","27","18","34","27","32","24","51","17","52","11","19","10","32","15","17","22","29"
"SERINC2","2","2","1","5","6","2","8","1","3","5","1","1","5","3","3","9","1","5","2"
"AJAP1"," 2"," 1"," 0"," 1"," 4"," 1"," 1"," 0"," 0"," 2"," 1","53"," 2","19"," 4"," 4"," 0","12"," 2"
