Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,disease_state,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Location,Organism,Platform,ReleaseDate,Sample Name,sex,source_name,SRA Study,Tissue
SRR11862834,RNA-Seq,105,186588696,PRJNA635587,SAMN15044559,133489267,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",Glioblastoma,SRX8413216,GSM4575927,Ion Torrent S5,SINGLE,cDNA,TRANSCRIPTOMIC,frontal,Homo sapiens,ION_TORRENT,2020-05-29T00:00:00Z,GSM4575927,male,brain,SRP265074,brain tumor
SRR11862835,RNA-Seq,107,1405499258,PRJNA635587,SAMN15044558,917765702,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",Glioblastoma,SRX8413217,GSM4575928,Ion Torrent S5,SINGLE,cDNA,TRANSCRIPTOMIC,frontal,Homo sapiens,ION_TORRENT,2020-05-29T00:00:00Z,GSM4575928,female,brain,SRP265074,normal brain
SRR11862836,RNA-Seq,109,652125660,PRJNA635587,SAMN15044557,426018373,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",Glioblastoma,SRX8413218,GSM4575929,Ion Torrent S5,SINGLE,cDNA,TRANSCRIPTOMIC,frontal,Homo sapiens,ION_TORRENT,2020-05-29T00:00:00Z,GSM4575929,female,brain,SRP265074,brain tumor
SRR11862837,RNA-Seq,106,386966468,PRJNA635587,SAMN15044563,276857786,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",Glioblastoma,SRX8413219,GSM4575930,Ion Torrent S5,SINGLE,cDNA,TRANSCRIPTOMIC,frontal,Homo sapiens,ION_TORRENT,2020-05-29T00:00:00Z,GSM4575930,female,brain,SRP265074,normal brain
SRR11862838,RNA-Seq,106,331275783,PRJNA635587,SAMN15044562,239502725,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",Glioblastoma,SRX8413220,GSM4575931,Ion Torrent S5,SINGLE,cDNA,TRANSCRIPTOMIC,frontal,Homo sapiens,ION_TORRENT,2020-05-29T00:00:00Z,GSM4575931,female,brain,SRP265074,brain tumor
SRR11862839,RNA-Seq,108,816386003,PRJNA635587,SAMN15044561,570521507,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",Glioblastoma,SRX8413221,GSM4575932,Ion Torrent S5,SINGLE,cDNA,TRANSCRIPTOMIC,temporal,Homo sapiens,ION_TORRENT,2020-05-29T00:00:00Z,GSM4575932,male,brain,SRP265074,normal brain
SRR11862840,RNA-Seq,105,804351444,PRJNA635587,SAMN15044560,551104124,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",Glioblastoma,SRX8413222,GSM4575933,Ion Torrent S5,SINGLE,cDNA,TRANSCRIPTOMIC,temporal,Homo sapiens,ION_TORRENT,2020-05-29T00:00:00Z,GSM4575933,male,brain,SRP265074,brain tumor
SRR11862841,RNA-Seq,109,1286942256,PRJNA635587,SAMN15044554,830599994,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",Glioblastoma,SRX8413199,GSM4575910,Ion Torrent S5,SINGLE,cDNA,TRANSCRIPTOMIC,frontal,Homo sapiens,ION_TORRENT,2020-05-29T00:00:00Z,GSM4575910,male,brain,SRP265074,normal brain
SRR11862842,RNA-Seq,108,1215515064,PRJNA635587,SAMN15044553,778816808,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",Glioblastoma,SRX8413200,GSM4575911,Ion Torrent S5,SINGLE,cDNA,TRANSCRIPTOMIC,frontal,Homo sapiens,ION_TORRENT,2020-05-29T00:00:00Z,GSM4575911,male,brain,SRP265074,brain tumor
SRR11862843,RNA-Seq,106,890485339,PRJNA635587,SAMN15044552,611818930,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",Glioblastoma,SRX8413201,GSM4575912,Ion Torrent S5,SINGLE,cDNA,TRANSCRIPTOMIC,parietal,Homo sapiens,ION_TORRENT,2020-05-29T00:00:00Z,GSM4575912,female,brain,SRP265074,normal brain
SRR11862844,RNA-Seq,107,1029035052,PRJNA635587,SAMN15044551,704055298,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",Glioblastoma,SRX8413202,GSM4575913,Ion Torrent S5,SINGLE,cDNA,TRANSCRIPTOMIC,parietal,Homo sapiens,ION_TORRENT,2020-05-29T00:00:00Z,GSM4575913,female,brain,SRP265074,brain tumor
SRR11862845,RNA-Seq,105,299047202,PRJNA635587,SAMN15044550,213442847,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",Glioblastoma,SRX8413203,GSM4575914,Ion Torrent S5,SINGLE,cDNA,TRANSCRIPTOMIC,frontal,Homo sapiens,ION_TORRENT,2020-05-29T00:00:00Z,GSM4575914,male,brain,SRP265074,normal brain
SRR11862846,RNA-Seq,106,5623274467,PRJNA635587,SAMN15044549,4011135198,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",Glioblastoma,SRX8413204,GSM4575915,Ion Torrent S5,SINGLE,cDNA,TRANSCRIPTOMIC,frontal,Homo sapiens,ION_TORRENT,2020-05-29T00:00:00Z,GSM4575915,male,brain,SRP265074,brain tumor
SRR11862847,RNA-Seq,111,1190935674,PRJNA635587,SAMN15044548,775788295,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",Glioblastoma,SRX8413205,GSM4575916,Ion Torrent S5,SINGLE,cDNA,TRANSCRIPTOMIC,temporal,Homo sapiens,ION_TORRENT,2020-05-29T00:00:00Z,GSM4575916,female,brain,SRP265074,normal brain
SRR11862848,RNA-Seq,110,925757757,PRJNA635587,SAMN15044547,593564643,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",Glioblastoma,SRX8413206,GSM4575917,Ion Torrent S5,SINGLE,cDNA,TRANSCRIPTOMIC,temporal,Homo sapiens,ION_TORRENT,2020-05-29T00:00:00Z,GSM4575917,female,brain,SRP265074,brain tumor
SRR11862849,RNA-Seq,106,257334294,PRJNA635587,SAMN15044546,184929793,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",Glioblastoma,SRX8413207,GSM4575918,Ion Torrent S5,SINGLE,cDNA,TRANSCRIPTOMIC,frontal,Homo sapiens,ION_TORRENT,2020-05-29T00:00:00Z,GSM4575918,male,brain,SRP265074,normal brain
SRR11862850,RNA-Seq,106,290872685,PRJNA635587,SAMN15044545,204881399,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",Glioblastoma,SRX8413208,GSM4575919,Ion Torrent S5,SINGLE,cDNA,TRANSCRIPTOMIC,frontal,Homo sapiens,ION_TORRENT,2020-05-29T00:00:00Z,GSM4575919,male,brain,SRP265074,brain tumor
SRR11862851,RNA-Seq,110,718912111,PRJNA635587,SAMN15044544,458848393,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",Glioblastoma,SRX8413209,GSM4575920,Ion Torrent S5,SINGLE,cDNA,TRANSCRIPTOMIC,temporal,Homo sapiens,ION_TORRENT,2020-05-29T00:00:00Z,GSM4575920,female,brain,SRP265074,normal brain
SRR11862852,RNA-Seq,109,1680779991,PRJNA635587,SAMN15044543,1062652945,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",Glioblastoma,SRX8413210,GSM4575921,Ion Torrent S5,SINGLE,cDNA,TRANSCRIPTOMIC,temporal,Homo sapiens,ION_TORRENT,2020-05-29T00:00:00Z,GSM4575921,female,brain,SRP265074,brain tumor
