"","Description","NES","p.adjust","core_enrichment"
"GO:0000786","nucleosome",3.89949072681542,3.05373134328358e-09,"8970/8348/8968/8346/8355/8969/3009/8335/8358/8352/8332/8336/8356/3007/8354/8342/8368/3006/8345/85235/8359/8344/8341/8361/8353/3018/8343/8350/317772/3017/8366/3008/3012/60/3014/55257/8360/86/10856/8347"
"GO:0032993","protein-DNA complex",3.74004905085293,3.05373134328358e-09,"8970/8348/8968/1482/8346/8355/8969/3009/7004/8335/8358/8352/8332/8336/8356/3007/8354/8342/8368/3006/8345/85235/8359/5424/8344/8341/8361/8353/3018/8343/8350/5425/4172/317772/51659/3017/4174/8366/3008/3012/60/3014/55257/8360/86/10856/4176/8347/5437/4175"
"GO:0005201","extracellular matrix structural constituent",3.64530034805522,3.05373134328358e-09,"10631/2201/1281/1277/1116/3371/165/1282/5118/4060/25878/255743/1284/27286/8406/84034/3339/2006/115908/2202/11117/7837/1302/3915/3912/50509/1290/3911/1291/7059/10516/4239/8425/3913/1307/1462/375790"
"GO:0006261","DNA-templated DNA replication",3.59363889973309,3.05373134328358e-09,"55388/144455/90381/81620/10721/3159/5424/4998/146956/3978/604/26271/10293/8914/5425/4172/10926/5888/51659/1663/4174/641/10189/63922/990/222229/5984/80198/4176/11232/4175/9401/57418/5982/9416/201254/51547/11284/997/4173"
"GO:0044815","DNA packaging complex",3.58592666589535,3.05373134328358e-09,"8970/8348/8968/8346/8355/8969/3009/23397/8335/8358/8352/8332/8336/8356/3007/8354/8342/8368/64151/3006/8345/85235/8359/147841/8344/83540/8110/8341/8361/8353/3018/8343/9274/8350/317772/3017/8366/3008/3012/60/3014/55257/8360/86"
"GO:0051783","regulation of nuclear division",3.50538160244592,3.05373134328358e-09,"3976/9212/9700/995/9787/6790/5347/9319/4288/891/699/1063/157313/81620/991/11130/4487/26271/23363/1104/1613/10635/10459/811/4041"
"GO:0006334","nucleosome assembly",3.34304287509965,3.05373134328358e-09,"8970/8348/8968/8346/8355/3009/8358/8352/8356/55355/3007/8354/8342/8368/3006/8345/8359/8344/8341/8361/8353/3018/11339/8343/6662/8350/83743/3017/8366/3148/3008"
"GO:0062023","collagen-containing extracellular matrix",3.32445297005294,3.05373134328358e-09,"10631/9518/2201/1281/1277/4318/5054/4015/4192/51129/3371/304/165/1282/5118/341640/3383/302/4060/2162/871/25878/255743/1284/7041/56999/27286/8406/84034/5265/3339/2006/115908/2202/11117/7837/1302/7076/977/3915/3912/4017/8728/1464/2817/9423/50509/1290/6281/3911/84695/1291/3958/4917/7059/10516/6277/4239/8425/4054/8985/811/3956/4485/3913/1307/1462/375790/308/64175"
"GO:0006260","DNA replication",3.31643094975576,3.05373134328358e-09,"1956/55388/144455/90381/7157/374393/983/81620/10721/3159/5424/4998/146956/3978/890/604/26271/10293/8914/83743/5425/4172/10926/5888/51659/1663/4174/641/10189/63922/990/222229/5984/5429/86/80198/10856/4176/11232/4175/9401/6749/57418/4782/5982/9416/201254/51547/11284/997/4173"
"GO:0030312","external encapsulating structure",3.30240144035421,3.05373134328358e-09,"10631/7422/4316/9518/5266/2201/1281/5806/1277/1116/4327/4318/5054/4015/4192/51129/3371/304/165/1282/5118/341640/3383/302/4060/2162/871/25878/255743/1284/7041/56999/27286/8406/84034/4323/5265/3339/2006/115908/2202/11117/7837/1302/7076/977/3915/3912/4017/8728/1464/2817/9423/50509/1290/6281/3911/84695/1291/3958/57124/4917/7059/10516/6277/4239"
