"","Gene","DIS","HC","DIS.1","HC.1","DIS.2","HC.2","DIS.3","HC.3","DIS.4","HC.4","DIS.5","HC.5","DIS.6","HC.6","DIS.7","HC.7","DIS.8","HC.8","DIS.9","HC.9"
"1","ATAD3B","2.6059041","2.3801610","2.8858485","2.3820176","2.5398295","2.1568344","2.8923952","0.7525579","4.1397553","2.3133702","2.3467337","2.3884445","2.8507220","2.7654660","2.5546474","3.2199794","3.5201175","3.3965276","3.1272190","2.8533594"
"2","RPL7P7","0.7525579","1.9323123","2.1703469","2.9597660","2.2401953","2.1568344","0.7525579","2.7312468","0.7525579","3.2614393","1.9069947","2.9678552","0.7525579","0.7525579","0.7525579","2.5909209","2.5922210","0.7525579","1.9074628","2.8533594"
"3","PRDM16","2.6059041","1.9323123","0.7525579","1.7255874","0.7525579","1.7643355","0.7525579","0.7525579","1.9373531","1.8817882","0.7525579","2.3884445","2.4289389","2.7654660","0.7525579","2.3687058","0.7525579","1.8005672","1.9074628","2.6600353"
"4","MTND2P28","0.7525579","1.9323123","0.7525579","0.7525579","0.7525579","2.6728982","2.0592681","2.7312468","0.7525579","1.8817882","0.7525579","0.7525579","0.7525579","0.7525579","1.8363052","0.7525579","0.7525579","0.7525579","0.7525579","2.4311608"
"5","PEX10","7.110163","5.241389","5.644291","4.064349","4.792603","3.555790","4.391307","2.989709","5.683065","5.207812","6.138465","5.358724","5.803855","5.757688","5.909526","5.580795","6.215486","5.971997","6.954592","6.030701"
"6","SKI","5.447602","4.224839","5.301065","4.064349","5.191451","3.756755","3.165127","2.405829","3.365070","3.691945","5.911735","5.112610","5.689931","5.154185","4.100291","5.265581","5.353220","4.175832","4.764200","4.712123"
"7","PEX14","4.175780","4.129045","4.500163","3.839308","4.311155","4.634260","5.163251","3.555481","4.770680","4.704103","4.169966","4.439878","4.394534","5.302492","4.470579","4.606221","3.873592","4.175832","3.863959","4.563748"
"8","PLCH2","2.2971911","5.2413887","0.7525579","3.7555070","0.7525579","3.7567554","0.7525579","2.9897092","1.9373531","5.2903556","2.9152593","0.7525579","0.7525579","4.9887817","1.8363052","4.2365700","0.7525579","3.2592645","4.1709867","4.5106556"
"9","SPSB1","4.897788","3.663582","3.465072","3.106192","3.991322","1.764335","5.038621","2.731247","6.582881","4.365089","4.342946","5.519088","6.567890","3.534718","3.820445","3.449664","5.197470","4.248719","3.973893","3.994723"
"10","SLC2A5","4.411515","4.398982","2.458561","2.794923","5.999013","2.867170","2.059268","3.205634","4.036856","4.577985","4.342946","4.592484","4.506997","3.433214","3.820445","3.088668","2.285373","3.741413","3.614268","3.829851"
"11","ENO1","10.147004"," 8.941335"," 9.548513"," 9.074115","11.069400"," 9.378098","11.665711"," 9.149636","10.173029"," 9.578624","10.605896","10.366329","10.923676"," 8.832374"," 8.754082"," 9.366127","10.536801"," 8.966622"," 8.609077"," 9.105301"
"12","PLEKHM2","1.8695870","0.7525579","0.7525579","2.6056667","1.8267192","2.1568344","2.0592681","0.7525579","1.9373531","1.8817882","1.9069947","0.7525579","0.7525579","3.3236083","2.2529610","2.0934393","1.8606836","1.8005672","2.3473526","2.8533594"
"13","NMNAT1","3.666683","3.663582","3.465072","4.064349","4.311155","3.932428","3.908286","4.170302","3.365070","3.919113","3.743726","3.849219","3.911311","3.954067","3.597105","3.735222","3.765415","3.396528","3.309557","3.829851"
"14","MTATP6P1","0.7525579","2.9574281","2.1703469","2.6056667","0.7525579","2.4428016","4.3913073","2.7312468","0.7525579","0.7525579","0.7525579","2.1103054","0.7525579","0.7525579","0.7525579","2.5909209","1.8606836","0.7525579","2.6638765","2.8533594"
"15","CHD5","0.7525579","0.7525579","0.7525579","4.3744844","0.7525579","4.1606431","0.7525579","0.7525579","0.7525579","0.7525579","0.7525579","0.7525579","0.7525579","4.8795374","0.7525579","4.6062205","0.7525579","0.7525579","1.9074628","4.3383780"
"16","DISP3","1.8695870","2.7017030","3.0557587","2.3820176","0.7525579","2.6728982","2.0592681","0.7525579","0.7525579","3.2614393","2.9152593","3.1146417","2.1449566","3.8010655","2.2529610","2.7790566","2.8374695","2.9340089","3.1272190","2.8533594"
"17","MMEL1","2.2971911","0.7525579","0.7525579","0.7525579","1.8267192","0.7525579","0.7525579","0.7525579","1.9373531","0.7525579","1.9069947","2.1103054","3.0187002","1.7099105","0.7525579","0.7525579","0.7525579","2.2053092","0.7525579","0.7525579"
"18","TMEM51","5.219583","3.518223","3.578171","3.238138","5.835557","2.442802","2.546511","3.555481","3.925866","4.020262","4.701116","5.467595","5.078776","3.073648","5.176641","3.646404","4.926718","2.934009","3.744682","3.914701"
