"","SRR11862835","SRR11862837","SRR11862839","SRR11862841","SRR11862845","SRR11862847","SRR11862849","SRR11862851","SRR11862855","SRR11862857"
"ATAD3B","2","3","2","0","2","3","5","8","8","5"
"RPL7P7","1","6","2","3","6","6","0","4","0","5"
"PRDM16","1","1","1","0","1","3","5","3","1","4"
"MTND2P28","1","0","4","3","1","0","0","0","0","3"
"PEX10","29","17","10"," 4","31","47","66","57","64","73"
"SKI","13","17","12"," 2"," 9","39","42","45","16","27"
"PEX14","12","14","25"," 7","21","23","47","27","16","24"
"PLCH2","29","13","12"," 4","33"," 0","37","20"," 7","23"
"SPSB1"," 8"," 7"," 1"," 3","16","53","11","10","17","15"
"SLC2A5","15"," 5"," 5"," 5","19","26","10"," 7","11","13"
"ENO1"," 410"," 673"," 767"," 458"," 701","1640"," 588"," 840"," 535"," 644"
"PLEKHM2","0","4","2","0","1","0","9","2","1","5"
"NMNAT1"," 8","17","14","12","11","14","16","13"," 8","13"
"MTATP6P1","4","4","3","3","0","2","0","4","0","5"
"CHD5"," 0","22","17"," 0"," 0"," 0","34","27"," 0","20"
"DISP3"," 3"," 3"," 4"," 0"," 6"," 7","14"," 5"," 5"," 5"
"MMEL1","0","0","0","0","0","2","1","0","2","0"
"TMEM51"," 7"," 8"," 3"," 7","12","51"," 7","12"," 5","14"
"WASH9P","12","12","13"," 1"," 5"," 7"," 2"," 6","55"," 7"
"FBXO42"," 9","25","25"," 9","10","21","19","18","19","15"
"ALDH4A1","12","10","11"," 4","22","20","50","20"," 7","25"
"RERE","13","30","24","10","17","14","13","18","10","13"
"CLCN6","12","24","15"," 5","17","12","21","24"," 7","26"
"RER1","27","30","36","36","33","63","35","31","19","25"
"PANK4"," 8","14","13"," 3"," 5","12","26","16"," 6","14"
"VPS13D","10","21","20"," 7","14"," 7","20","14"," 5","14"
"RBP7","211","139"," 57","247","277"," 11","100","186"," 28","120"
"GPR157","0","0","0","0","0","3","0","1","0","0"
"ZBTB40","15","16","12"," 7","13","11","13","12","22","19"
"NPHP4"," 3"," 6"," 3"," 0"," 4"," 2","10"," 8"," 5"," 9"
"HES5"," 0","11"," 7"," 0"," 3","10","24","20","42","61"
"MT1XP1","16","38","25","13","16","66","24","20","80","35"
"CLIC4","481","603","264","697","500","919","234","342","497","338"
"SZRD1"," 74"," 60"," 26"," 18"," 72","238","129","103","301","176"
"PDIK1L"," 4"," 7"," 5"," 6"," 7"," 8"," 4","11","13"," 8"
"NECAP2","14","17","13","10","28","37","21"," 7","57","19"
"LAPTM5","155","112"," 90","563","173","724"," 43","136","100"," 82"
"PHACTR4","13","17"," 9"," 9","14","26","11","13","35","11"
"CNKSR1","1","1","0","0","0","0","1","3","3","0"
"ICMT","14","21","21","14"," 9","35","19","26"," 5","13"
"MED18","32","29","20","28","25","89","43","52","65","58"
"SLC9A1"," 7","11","13"," 4","12","38","43","25","18","20"
"LDLRAP1","40","38"," 5"," 7","41","10","31","26","15","32"
"ATP5IF1","164","266","387","181","199","109","357","366"," 97","229"
"SDC3"," 34"," 46"," 29","  8"," 94","112","118"," 81","104","125"
"DNAJC8","128","404","362","243","126","370","174","277","185","184"
"SESN2"," 7"," 7"," 8"," 3"," 4","37","12","16","13","18"
"SERINC2"," 1"," 1"," 3"," 1"," 5","12"," 3"," 1","17"," 3"
"AJAP1"," 5"," 8","13"," 2"," 5"," 5","13","13"," 2"," 9"
"PTAFR","1","1","2","7","1","4","0","2","1","2"
"NKAIN1","21","27"," 5"," 2","15"," 3","17","31","35","30"
"SNRNP40"," 68"," 40"," 23"," 29"," 41"," 57"," 49"," 45","103"," 47"
"SLC25A33","14","27","14"," 5","11","19","25","19"," 6","19"
"DNAJC16"," 9","20","18","10","12","15","20","18","13","14"
"EYA3","22","48","50","33","28","43","36","40","78","31"
"RPL7P11","0","2","7","7","4","5","0","4","6","0"
"FABP3","173","216","546"," 95"," 65"," 33","287","426"," 41","398"
"EPHA2","2","4","4","3","6","6","4","4","2","5"
"ARHGEF19"," 1"," 0"," 0"," 1"," 1","10"," 2"," 3","30"," 3"
"GPR153"," 0"," 5"," 9"," 0"," 2"," 4","25","15","14","17"
"CHCHD2P6","22","22"," 7","10","33","23","10","13","44","22"
"TNFRSF1B","17"," 7"," 5"," 6"," 5","30","12","17","15","17"
"UBE4B","20","30","21","14","24","16","33","29"," 7","24"
"TMEM51-AS1","0","1","0","0","0","1","0","1","0","1"
"PLA2G5"," 2"," 7"," 3"," 1"," 5","37","15","10"," 1","13"
"PTPRU"," 3"," 5"," 2"," 0"," 3"," 5","15","12"," 7"," 9"
"GJB5","0","0","1","0","0","0","2","7","0","7"
"AGO4","11","19","24","17"," 8","28","13","19","12"," 9"
"CDCA8"," 0"," 3"," 1"," 1"," 2"," 7"," 2"," 1","12"," 3"
"RPL22","0","1","1","0","1","1","1","0","1","2"
"RNF207"," 2"," 5"," 5"," 1"," 1"," 4","11"," 8","10"," 6"
"EXTL1"," 0"," 4"," 3"," 0"," 1"," 0"," 8","10"," 2","10"
"AGMAT"," 1"," 1"," 4"," 1"," 0"," 5"," 7"," 8"," 3","15"
"DNALI1"," 9","11"," 5"," 6","12","55","11"," 9","58","13"
"SPCS2P4","1341","2447","1717","1722","1779","1047","1254","1388"," 655","1167"
"GRIK3","  3"," 10"," 13","  1","  7"," 22"," 17"," 43","105"," 29"
"YRDC","0","0","0","0","2","1","5","0","4","0"
"RCC2"," 33"," 30"," 23"," 21"," 57","148","103"," 39","267","107"
"PSMB2","185","129","225","216","151","349","183","255","386","283"
"CASP9","30","21","11","10","16","37","24","30","37","21"
"UQCRH"," 90","309","706","290","160","138","260","267","110","173"
"THRAP3","30","51","33","33","19","66","38","47","65","47"
"PADI4","4","0","2","2","0","1","1","1","2","0"
"C1orf122"," 44"," 37"," 17"," 10"," 52"," 42","103"," 68"," 81","122"
"EPHA10","0","3","3","0","0","0","5","3","6","4"
"FHL3","11","15","10","13","18","54","27","16","60","23"
"RHBDL2","32","34","12","17","35"," 4","12","25"," 5","22"
"INPP5B","28","31","19","12","20","16","28","27","23","21"
"FAM183A","0","0","0","1","0","8","0","0","0","0"
"ZMYM4","17","60","62","45","25","52","41","40","38","25"
"UTP11"," 9","12","19","17","11","25","18","17","14","14"
"RLF"," 7","21","27","13"," 8","23","18","13","19","14"
"CLSPN","0","0","1","1","1","3","1","0","3","0"
"GNL2","33","44","44","44","29","79","39","33","75","40"
"GJA4"," 4"," 4"," 5","11","18"," 8"," 8"," 9"," 3"," 8"
"MORN1","1","1","1","0","1","4","2","3","1","1"
"TIE1"," 6","11"," 7"," 3","14"," 5","17","11"," 2"," 6"
"DLGAP3","  2"," 82","123","  1","  4","  1","311","255"," 74","252"
"RIMS3"," 2","17","24"," 0"," 1"," 1","80","40","24","48"
"ECHDC2"," 8"," 8"," 6"," 1"," 8","17","13"," 9","26","13"
"RAB3B"," 0"," 5","10"," 0"," 0"," 1"," 5","14"," 1"," 3"
"TMEM61","0","0","0","1","0","4","4","2","0","3"
"ERI3"," 29"," 56"," 57","  8"," 29","112"," 98","111"," 47"," 94"
"CZIB","40","47","71","61","36","81","57","40"," 9","44"
"PODN"," 2"," 5"," 6"," 1"," 3","26"," 5"," 7","16"," 3"
"OSBPL9","51","41","39","59","61","32","20","34","27","25"
"ZYG11B","12","35","45","17","19","19","39","33","19","34"
"SF3A3"," 45"," 96"," 88"," 74"," 53"," 99"," 44"," 70","150"," 60"
"LAMTOR5P1","0","5","0","3","5","0","8","0","3","0"
"PIGQP1"," 0"," 0"," 2"," 0"," 0"," 1"," 0"," 2"," 0","15"
"KLF17","0","0","1","0","0","2","0","0","0","0"
"PLPP3"," 58"," 88"," 59"," 30"," 63","270"," 88","130"," 13"," 53"
"SNIP1"," 7"," 7"," 5"," 6"," 6","15","15","17","42","25"
"RPS13P2","31","50","46","59","71","19","35","10","21","28"
"FOXJ3","16","50","37","20","19","44","21","31","13","15"
"TUT4","3","8","8","7","3","8","5","5","1","3"
"MAGOH"," 63"," 93","121","100"," 43","115"," 47"," 59"," 45"," 64"
"SKINT1L"," 2"," 1"," 0"," 1"," 1"," 3"," 1"," 0","17"," 0"
"CDKN2C","20","28","21","20","46","89","27","13"," 1","35"
"CAPZB","38","23","26","28","38","60","38","49","35","33"
"ZSWIM5"," 8","13","12"," 3"," 6","11"," 7","11","10"," 5"
"OMA1","24","44","19","39","18","15"," 8","12"," 3","10"
"SLC35D1","11","28","17","24","17","25"," 8","17"," 7"," 8"
"LRP8"," 2"," 9"," 9"," 2"," 4"," 6","16","11","11","11"
"TCEANC2","4","4","3","3","3","5","2","4","4","2"
"KTI12","17","32","22","27","26","59","37","44","42","30"
"LRRC42","11","16","17","19","14","28","17","23","19","10"
"GDI2P2"," 32","313","310"," 99"," 55"," 57","318","230","119"," 85"
"KANK4","4","0","1","3","5","0","1","1","1","2"
"DNAJB4","67","74","89","88","44","49","53","72","24","63"
"USP1","20","27","41","27","26","42","21","17","16","16"
"AK5","150","157","318","106","176","  3","136","397"," 18","308"
"SPATA6","26","23","13","36","29","32","15","12","20","16"
"RPE65"," 2"," 1"," 2"," 2","20","13"," 1"," 0","30"," 2"
