"","SRR11862834","SRR11862836","SRR11862838","SRR11862840","SRR11862842","SRR11862846","SRR11862848","SRR11862850","SRR11862852","SRR11862856"
"ATAD3B"," 3"," 5"," 3"," 3","12"," 2"," 5"," 3"," 8"," 5"
"RPL7P7","0","2","2","0","0","1","0","0","3","1"
"PRDM16","3","0","0","0","1","0","3","0","0","1"
"MTND2P28","0","0","0","1","0","0","0","1","0","0"
"PEX10","127"," 53"," 25"," 12"," 40"," 59"," 62"," 57"," 68","106"
"SKI","38","41","34"," 4"," 6","50","57","14","36","21"
"PEX14","14","22","17","22","20","13","21","19","11","10"
"PLCH2"," 2"," 0"," 0"," 0"," 1"," 4"," 0"," 1"," 0","13"
"SPSB1"," 25","  9"," 13"," 20"," 77"," 15","108"," 11"," 32"," 11"
"SLC2A5","17"," 3","62"," 1","11","15","23","11"," 2"," 8"
"ENO1","1065"," 846","2194","2194"," 958","1367","2288"," 430","1420"," 340"
"PLEKHM2","1","0","1","1","1","1","0","2","1","2"
"NMNAT1"," 9"," 9","17"," 8"," 6"," 9","14"," 9","10"," 6"
"MTATP6P1"," 0"," 2"," 0","12"," 0"," 0"," 0"," 0"," 1"," 3"
"CHD5","0","0","0","0","0","0","0","0","0","1"
"DISP3","1","6","0","1","0","4","2","2","4","5"
"MMEL1","2","0","1","0","1","1","6","0","0","0"
"TMEM51","32","10","55"," 2","10","20","36","33","26"," 9"
"WASH9P"," 2","23","12","13"," 2","10"," 9"," 2","11","19"
"FBXO42"," 6","16","18","12","19","11","25","18","12"," 9"
"ALDH4A1","15"," 8"," 6"," 5"," 4","25","23","12","15","11"
"RERE"," 8"," 9","11"," 9"," 8"," 8"," 9"," 9"," 8"," 7"
"CLCN6"," 4","10","10"," 9","15"," 6"," 9","15","10"," 6"
"RER1","27","58","49","25","23","36","62","25","32","22"
"PANK4"," 8","19"," 7","14"," 6"," 8","12"," 6"," 6"," 5"
"VPS13D"," 6"," 9"," 8"," 8","19"," 7"," 8"," 7"," 8"," 6"
"RBP7"," 9"," 2","15"," 8"," 5","44","11","23","13","53"
"GPR157","1","2","1","0","4","1","7","0","3","0"
"ZBTB40","15","16"," 9"," 9","19"," 8","13","17","14","13"
"NPHP4","2","1","4","2","7","2","3","4","4","4"
"HES5","189","  1","  0","  7","  0","  9","  3"," 61","  9","139"
"MT1XP1"," 14","  7","  0","130","591"," 45"," 60"," 49"," 71"," 19"
"CLIC4"," 630","1039"," 411","1321"," 450"," 930","1337"," 499","1019"," 303"
"SZRD1","254","139","141","103","145","146","267","303","228","270"
"PDIK1L","7","6","4","5","4","6","8","6","4","7"
"NECAP2","44","18","57","30","21","40","39","36","32","43"
"LAPTM5","132"," 98","959"," 19"," 96","179","445","224","118","172"
"PHACTR4","11","22","13","10","15"," 9","23","21","19","15"
"CNKSR1","0","0","0","0","4","0","0","4","0","2"
"ICMT","13","14","17"," 5"," 6","11","32","10","11"," 6"
"MED18","54","47","34","26","34","42","95","77","42","65"
"SLC9A1","29","16","12"," 8"," 9"," 9","35","11","13"," 9"
"LDLRAP1"," 4"," 8","12"," 2","13","11","11","19"," 8","24"
"ATP5IF1","110","116","110"," 58"," 31"," 90","136","166","198","154"
"SDC3","324","111"," 63"," 18"," 16","258"," 77","127","126","149"
"DNAJC8","159","221","279","326","102","185","368","185","159","150"
"SESN2","10","26","22","29","18","23","42","34","47","12"
"SERINC2","21","16","11"," 5","12","17","12","14"," 8"," 1"
"AJAP1","0","0","0","0","0","1","1","1","0","5"
"PTAFR"," 1"," 0","16"," 0"," 1"," 2"," 0"," 1"," 1"," 1"
"NKAIN1","22"," 1"," 0"," 0"," 0","12"," 0","20"," 2","21"
"SNRNP40","109"," 65"," 63"," 55"," 65"," 49"," 67"," 99"," 67"," 94"
"SLC25A33"," 8","20"," 3","12"," 6","16","13"," 9"," 8","10"
"DNAJC16"," 4"," 8","20"," 5"," 7"," 6","14"," 6"," 7"," 5"
"EYA3","26","29","27","26","29","21","47","49","39","43"
