ENSEMBL,CS02iCTR.1,CS02iCTR.2,CS02iCTR.3,WP3iCTR.1,WP3iCTR.2,WP3iCTR.3,CS00iCTR.1,CS00iCTR.2,CS00iCTR.3,CS190PD.1,CS190PD.2,CS190PD.3,CS194PD.1,CS194PD.2,CS194PD.3,CS200PD.1,CS200PD.2,CS200PD.3
ENSG00000000003,23.33,23.54,21.44,23.39,27.27,23.72,16.49,16.38,15.67,10.61,8.53,11.85,19.52,17.56,16.41,20.37,18.07,20.89
ENSG00000000005,0.34,0.4,0.24,0.33,0.36,0.3,0.06,0,0.1,0,0.06,0.3,0.18,0.39,0.36,0.74,0.66,0.68
ENSG00000000419,45.63,44.98,44.16,50.91,43.42,44.29,52.53,50.09,46.09,38.46,37.33,38.2,51.25,50.31,51.91,37.44,34.82,43.24
ENSG00000000457,7.12,7.12,6.77,7.73,6.67,7.55,7.8,7.32,7.18,7.46,7.04,6.82,6.23,7.64,5.87,7.09,7.21,7.08
ENSG00000000460,3.27,1.15,2.01,2.66,2.96,2.16,2.02,2.08,2.27,2.77,3.8,2.16,2.47,2.49,2.42,2.94,1.89,1.93
ENSG00000000938,0.32,0.04,0.22,0.17,0.1,0.13,0.11,0,0.06,0,0.03,0.04,0.07,0.18,0.1,0.03,0.03,0.15
ENSG00000000971,8.53,10.4,8.14,5.84,5.56,6.69,2.02,2.59,3.19,0.72,1.52,0.78,0.49,0.42,0.37,3.98,4.61,4.52
ENSG00000001036,21.86,21.99,21.46,27.74,31.18,27.86,27.52,23.14,20.69,23.18,27.5,24.72,35.46,31.81,30.16,22.01,19.4,23.96
ENSG00000001084,21.49,22.92,29.3,28.78,26.33,34.05,27.64,29.99,24.56,26.12,23.94,26.35,26.26,28.56,22.67,20.72,21.43,26.35
ENSG00000001167,27.48,27.41,31.63,30.62,29.84,30.2,28.3,32.28,24.72,22.47,23.91,22.94,33.49,33.58,36.11,24.58,23.34,29.47
ENSG00000001460,21.69,18.91,15.64,20.48,21.42,19.67,15.54,13.98,15.01,10.41,10.23,9.81,16.25,14.12,14.29,18.56,17.65,16.41
ENSG00000001461,18.54,19.11,18.45,20.82,17.42,20.05,14.49,15.55,12.49,12.42,11.14,11.39,17.69,16.8,18.99,17.75,15.33,17.99
ENSG00000001497,29.22,28.31,30.11,32.07,32.03,35.38,31.61,31.34,31.21,25.53,29.15,34.04,30.41,30.86,27.77,30.75,28.45,29.51
ENSG00000001561,6.98,7.29,8.83,8.84,7.58,8.26,6.59,5.92,4.71,5.59,5.27,4.83,5.84,6.63,5.83,5.4,5.26,6.61
ENSG00000001617,30.91,32.34,26.04,39.8,31.76,32.96,40.39,39.08,33.19,32.05,30.36,31.07,42.62,35.56,37.98,38.21,34.56,35.93
ENSG00000001626,3.5,2.47,3.25,2.26,2.9,2.28,1.97,1.6,1.69,2.41,2.64,1.84,3.68,1.73,1.13,2.15,2.48,3.18
ENSG00000001629,142.49,125.1,131.35,159.17,162.69,151.02,97.07,82.77,103.52,55.41,60.6,59.08,87.87,99.44,95.75,121.37,118.88,113.58
ENSG00000001630,66.53,75.67,83.26,87.68,79.63,88.4,73.4,72.73,71.73,93.33,102.04,99.93,90.59,98.99,106.13,73.46,63.83,84.29
ENSG00000001631,57.76,64.22,59.35,68.04,56.62,65.94,54.13,71.54,48.11,28.7,27.52,31.26,63.56,54.03,63.68,52.54,41.45,47.56
ENSG00000002016,43.73,62.65,56.93,60.06,51.28,57.77,59.65,61.76,48.5,30.2,25.37,26.04,56.4,51.81,54.16,43.08,43.08,46.56
ENSG00000002330,32.25,22.1,18.95,25.6,26.79,24.44,24.68,30.48,32.67,36.63,29.08,33.37,29.15,23.81,26.24,27.07,21.03,27.11
ENSG00000002549,17.78,18.12,17.77,21.34,16.94,17.25,17.87,19.3,20.48,11.6,12.11,11.16,18.84,15.92,15.44,13.5,13.59,15.39
ENSG00000002586,115.66,127.26,120.13,105.8,93.72,108.6,106.27,95.97,83.49,22.22,23.82,24.33,90.95,86.01,93.35,87.6,77.17,96.59
ENSG00000002587,0.12,0.16,0.18,0.24,0.27,0.37,0.52,0.55,0.33,0.3,0.24,0.32,0.36,0.25,0.3,0.3,0.37,0.41
ENSG00000002726,0,0,0,0,0.09,0,0,0,0,0.16,0,0.03,0.06,0.1,0,0,0,0
ENSG00000002745,0.03,0.29,0,0.11,0.07,0,0.14,0.03,0,0,0,0.1,0.06,0.14,0.13,0.07,0,0.07
ENSG00000002746,13.51,12.21,11.85,12.86,16.18,15.73,11.41,12.58,16.47,28.84,32.73,28.4,16.73,16.35,16.48,16.86,21.04,20.87
ENSG00000002822,35.61,27.95,30.86,42.69,37.72,39.65,43.46,35.81,40.83,31.19,31.87,37.51,35.53,30.7,35.99,26.5,30.34,32.96
ENSG00000002834,89.44,80.58,87.38,97.53,91.36,98.26,77.47,79.05,85.37,93.32,88.55,89.85,101.11,102.49,101.53,93.33,93.52,103.51
ENSG00000002919,12.87,8.79,9.41,11.38,11.31,10.16,10.81,9.91,10.47,8.98,9.23,8.77,10.76,11.21,13.88,10.61,8.58,9.78
ENSG00000002933,27.31,21.82,22.29,10.92,16.41,12,23.15,19.73,24.15,10.16,9.45,9.87,14.78,16.79,19.99,8.66,13.32,7.67
ENSG00000003056,162.59,170.49,148.77,173.26,148,165.33,182.46,182.47,153.55,114.89,129.16,115.9,167.12,145.59,158.14,138.68,112.54,141.96
ENSG00000003096,18.82,18.33,17.47,16.51,15.58,14.63,18.49,19.51,18.65,34.88,33.46,32.26,20.22,20.42,20.74,24.69,20.16,21.28
ENSG00000003137,0.15,0.33,0.08,0.21,0.21,0.64,0.18,0.14,0.27,1.03,0.9,1.13,0.21,0.16,0.1,0.42,0.5,0.54
ENSG00000003147,16.9,19.56,19.48,22.34,20.62,16.6,15.38,19.62,16.95,30.83,34.82,32.07,25.64,30.08,27.56,25,22.29,25.72
ENSG00000003249,38.28,35.44,31.93,30.38,32.57,29.96,43.72,48.14,52.45,51.78,47.81,49.84,52.97,46.95,45.4,43.08,46.75,43.58
ENSG00000003393,36.9,32.42,36.39,45.11,36.79,36.73,35,42.95,32.56,33.22,39.25,29.42,30.93,33.37,40.36,34.66,37.79,39.79
ENSG00000003400,0.49,0.23,0.43,0.26,0.1,0.28,0.17,0.52,0.05,0.02,0.05,0.09,0.6,0.12,0.22,0.47,0.12,0.08
