ID	adj.P.Val	P.Value	t	B	logFC	Gene	Gene.title
A_23_P202837	0.000343	4.83E-08	6.537913	8.20426	1.2733149	CCND1	cyclin D1
A_23_P34396	0.002203	1.17E-06	5.606945	5.30901	1.1195195	RSRP1	arginine and serine rich protein 1
A_24_P794458	0.002203	1.48E-06	5.538806	5.09813	1.5223829	MOBP	myelin-associated oligodendrocyte basic protein
A_23_P360769	0.002203	2.00E-06	5.450379	4.82496	1.232571	MAN2A1	mannosidase alpha class 2A member 1
A_24_P756289	0.002203	2.12E-06	5.432067	4.76846	1.1545231	SOX2-OT	SOX2 overlapping transcript
A_24_P20120	0.002203	2.55E-06	5.378557	4.60354	0.7369383	CCDC88A	coiled-coil domain containing 88A
A_23_P27035	0.002203	2.94E-06	5.336057	4.47273	1.0134898	TMEM98	transmembrane protein 98
A_24_P387875	0.002203	2.98E-06	5.332274	4.4611	1.0328448	KCNJ10	potassium voltage-gated channel subfamily J member 10
A_24_P717609	0.002203	3.27E-06	-5.304266	4.37499	-0.8784802		
A_32_P179005	0.002203	3.33E-06	5.29927	4.35965	0.822775	C2orf68	chromosome 2 open reading frame 68
A_23_P25336	0.002203	3.61E-06	5.274936	4.28491	1.080782	GLTP	glycolipid transfer protein
A_24_P348118	0.002203	3.73E-06	-5.265799	4.25687	-0.9788552	LGALS7B	galectin 7B
A_24_P82142	0.002344	4.29E-06	5.223562	4.12734	1.0125999	TCF12	transcription factor 12
A_24_P325520	0.002588	5.27E-06	5.162531	3.94054	1.0310914	SORT1	sortilin 1
A_23_P45365	0.002588	5.47E-06	5.151646	3.90726	1.1339643	COL4A5	collagen type IV alpha 5 chain
A_24_P342316	0.002894	6.53E-06	5.099043	3.74668	1.0403879	FRYL	FRY like transcription coactivator
A_23_P63010	0.00326	7.81E-06	5.045341	3.58309	0.8111102	CERS2	ceramide synthase 2
A_23_P18276	0.004092	1.04E-05	4.960114	3.3243	0.667216	RBM5	RNA binding motif protein 5
A_23_P20068	0.004121	1.10E-05	4.941767	3.26872	1.1148403	GRM3	glutamate metabotropic receptor 3
A_23_P213527	0.004936	1.39E-05	-4.872015	3.05791	-1.0430704		
A_23_P31858	0.005189	1.54E-05	4.842166	2.96792	1.3574523	ST18	"ST18, C2H2C-type zinc finger"
A_23_P501831	0.00635	1.97E-05	4.767032	2.74209	0.8408613	FAXDC2	fatty acid hydroxylase domain containing 2
A_23_P218190	0.006521	2.11E-05	4.745496	2.67754	1.0259836	CAPN3	calpain 3
A_32_P82251	0.009627	3.29E-05	-4.610249	2.27414	-1.1204854		
A_24_P54390	0.009627	3.39E-05	4.601336	2.24769	0.9949646	RASGRP3	RAS guanyl releasing protein 3
A_23_P145995	0.009878	3.62E-05	4.581433	2.18866	1.1115814	GPR37	G protein-coupled receptor 37
A_23_P205686	0.010489	3.99E-05	4.551449	2.09989	0.7951625	PSEN1	presenilin 1
A_23_P409623	0.010823	4.27E-05	4.530638	2.03839	0.8176011	PPFIBP2	PPFIA binding protein 2
A_23_P72747	0.010991	4.49E-05	4.515086	1.9925	1.2053094	UGT8	UDP glycosyltransferase 8
A_23_P112950	0.012354	5.22E-05	4.468601	1.85563	0.7158595	ATF7IP	activating transcription factor 7 interacting protein
A_23_P5761	0.012482	5.47E-05	4.454383	1.81386	0.7544811	NFE2L2	"nuclear factor, erythroid 2 like 2"
A_23_P351305	0.012482	5.63E-05	4.445478	1.78772	1.1282624	AMER2	APC membrane recruitment protein 2
A_23_P112883	0.012602	5.86E-05	4.432996	1.75112	0.7165271	NRBP2	nuclear receptor binding protein 2
A_23_P75790	0.01269	6.08E-05	4.421588	1.7177	1.0472206	MYRF	myelin regulatory factor
A_23_P202334	0.012761	6.29E-05	4.410866	1.68631	0.8425307	FGFR2	fibroblast growth factor receptor 2
A_23_P255952	0.012894	6.54E-05	4.398928	1.6514	0.7770203	MYO6	myosin VI
A_23_P88303	0.014003	7.30E-05	4.364765	1.55168	1.0279465	HSPA2	heat shock protein family A (Hsp70) member 2
A_23_P19322	0.01536	8.44E-05	-4.319772	1.42078	-0.7698606	SAYSD1	SAYSVFN motif domain containing 1
A_24_P227927	0.01536	8.44E-05	-4.31954	1.42011	-1.7107753	IL21R	interleukin 21 receptor
A_23_P502488	0.015777	9.11E-05	4.295604	1.35068	0.631895	ATG4C	autophagy related 4C cysteine peptidase
A_23_P150807	0.015777	9.12E-05	4.29554	1.3505	0.744027	PPFIBP2	PPFIA binding protein 2
A_23_P53211	0.01603	9.49E-05	4.283012	1.31421	1.2002809	PLEKHB1	pleckstrin homology domain containing B1
A_23_P212535	0.016197	1.00E-04	4.266078	1.26524	0.8317443	CHMP2B	charged multivesicular body protein 2B
A_24_P165864	0.016197	1.02E-04	4.259088	1.24505	1.0300163	P2RY14	purinergic receptor P2Y14
A_32_P193322	0.016197	1.03E-04	4.258143	1.24232	0.8399156	RICTOR	RPTOR independent companion of MTOR complex 2
A_32_P132477	0.016227	1.05E-04	-4.250666	1.22073	-1.0747403		
A_32_P63162	0.016564	1.10E-04	-4.237466	1.18266	-0.8581443		
A_23_P50096	0.017046	1.15E-04	4.221817	1.13759	1.0555143	TYMS	thymidylate synthetase
A_23_P151907	0.01816	1.26E-04	4.193518	1.05625	1.1053895	PCSK6	proprotein convertase subtilisin/kexin type 6
A_24_P38951	0.01816	1.29E-04	-4.185435	1.03306	-0.5561207	RELT	RELT tumor necrosis factor receptor
A_23_P335452	0.01816	1.31E-04	4.182768	1.02541	0.9897011	ZCCHC24	zinc finger CCHC-type containing 24
A_24_P33607	0.018978	1.45E-04	4.150492	0.933	0.8176154		
A_24_P309415	0.018978	1.47E-04	4.145545	0.91886	0.8312875	TMEM123	transmembrane protein 123
A_24_P11462	0.018978	1.48E-04	4.142588	0.91042	0.5921642	AZIN2	antizyme inhibitor 2
A_24_P940524	0.018978	1.50E-04	4.13912	0.90051	0.9583541	ZFX	"zinc finger protein, X-linked"
A_23_P321630	0.018978	1.51E-04	4.137267	0.89522	0.5895193	TRMT5	tRNA methyltransferase 5
A_24_P89872	0.018978	1.55E-04	4.128068	0.86897	0.6668824	ZNF189	zinc finger protein 189
A_24_P381224	0.018978	1.61E-04	4.116379	0.83566	0.7927848	SYVN1	synoviolin 1
