"","ENSEMBL","Length","SYMBOL","ENTREZID"
"1","ENSMUSG00000000001",3262,"Gnai3","14679"
"2","ENSMUSG00000000003",902,"Pbsn","54192"
"3","ENSMUSG00000000028",3506,"Cdc45","12544"
"4","ENSMUSG00000000031",2625,"H19","14955"
"5","ENSMUSG00000000037",6397,"Scml2","107815"
"6","ENSMUSG00000000049",1594,"Apoh","11818"
"7","ENSMUSG00000000056",4806,"Narf","67608"
"8","ENSMUSG00000000058",3335,"Cav2","12390"
"9","ENSMUSG00000000078",4391,"Klf6","23849"
"10","ENSMUSG00000000085",7731,"Scmh1","29871"
"11","ENSMUSG00000000088",2101,"Cox5a","12858"
"12","ENSMUSG00000000093",3626,"Tbx2","21385"
"13","ENSMUSG00000000094",3401,"Tbx4","21387"
"14","ENSMUSG00000000103",3107,"Zfy2","22768"
"15","ENSMUSG00000000120",3446,"Ngfr","18053"
"16","ENSMUSG00000000125",3076,"Wnt3","22415"
"17","ENSMUSG00000000126",3329,"Wnt9a","216795"
"18","ENSMUSG00000000127",4680,"Fer","14158"
"19","ENSMUSG00000000131",16920,"Xpo6","74204"
"20","ENSMUSG00000000134",9261,"Tfe3","209446"
"21","ENSMUSG00000000142",5506,"Axin2","12006"
"22","ENSMUSG00000000148",6179,"Brat1","231841"
"23","ENSMUSG00000000149",3416,"Gna12","14673"
"24","ENSMUSG00000000154",1699,"Slc22a18","18400"
"25","ENSMUSG00000000157",4324,"Itgb2l","16415"
"26","ENSMUSG00000000159",2523,"Igsf5","72058"
"27","ENSMUSG00000000167",2813,"Pih1d2","72614"
"28","ENSMUSG00000000168",4886,"Dlat","235339"
"29","ENSMUSG00000000171",1231,"Sdhd","66925"
"30","ENSMUSG00000000182",1814,"Fgf23","64654"
"31","ENSMUSG00000000183",4657,"Fgf6","14177"
"32","ENSMUSG00000000184",9409,"Ccnd2","12444"
"33","ENSMUSG00000000194",12766,"Gpr107","277463"
"34","ENSMUSG00000000197",14715,"Nalcn","338370"
"35","ENSMUSG00000000202",3187,"Btbd17","72014"
"36","ENSMUSG00000000204",3964,"Slfn4","20558"
"37","ENSMUSG00000000214",2364,"Th","21823"
"38","ENSMUSG00000000215",1312,"Ins2","16334"
"39","ENSMUSG00000000216",2991,"Scnn1g","20278"
"40","ENSMUSG00000000223",8553,"Drp2","13497"
"41","ENSMUSG00000000244",6234,"Tspan32","27027"
"42","ENSMUSG00000000247",4393,"Lhx2","16870"
"43","ENSMUSG00000000248",2847,"Clec2g","70809"
"44","ENSMUSG00000000253",2323,"Gmpr","66355"
"45","ENSMUSG00000000263",2414,"Glra1","14654"
"46","ENSMUSG00000000266",8114,"Mid2","23947"
"47","ENSMUSG00000000275",5754,"Trim25","217069"
