gene	mean	median	longest_isoform	merged
ENSG00000160072	2923	3300	4314	7686
ENSG00000234396	326	326	326	326
ENSG00000225972	372	372	372	372
ENSG00000224315	703	703	703	703
ENSG00000198744	547	547	547	547
ENSG00000279928	570	570	570	570
ENSG00000228037	626	626	626	626
ENSG00000142611	3278	3730	8698	9767
ENSG00000225630	1044	1044	1044	1044
ENSG00000284616	1225	1225	1225	1225
ENSG00000157911	1473	907	2905	3782
ENSG00000269896	1310	1310	2407	2407
ENSG00000237973	1543	1543	1543	1543
ENSG00000228463	2235	1902	5603	8224
ENSG00000260972	1697	1697	1697	1697
ENSG00000157933	1792	416	6083	6550
ENSG00000224340	337	337	337	337
ENSG00000226545	415	415	415	415
ENSG00000268663	424	424	424	424
ENSG00000226374	1321	1327	1646	2168
ENSG00000229280	372	372	372	372
ENSG00000142655	903	721	1922	2932
ENSG00000232596	1057	1101	1531	3328
ENSG00000235054	1309	1347	2077	2574
ENSG00000232663	163	163	163	163
ENSG00000240409	207	207	207	207
ENSG00000229344	682	682	682	682
ENSG00000231510	449	449	449	449
ENSG00000149527	4410	4853	6986	10809
ENSG00000284739	464	464	464	464
ENSG00000171621	1593	1223	3106	3389
ENSG00000272235	3461	3461	3461	3461
ENSG00000284694	3402	3402	3402	3402
ENSG00000230021	777	818	1702	5495
ENSG00000287356	4853	4853	5675	5794
ENSG00000224387	455	455	455	455
ENSG00000285629	663	663	663	663
ENSG00000173673	710	710	710	710
ENSG00000142583	1201	756	4085	6632
ENSG00000284674	1580	1580	1580	1580
ENSG00000272161	493	493	493	493
ENSG00000237094	547	545	902	6204
ENSG00000224338	565	565	565	565
ENSG00000074800	1066	642	2548	5216
ENSG00000116786	2695	3775	4134	4134
ENSG00000287727	2876	2876	2876	2876
ENSG00000228423	353	353	353	353
ENSG00000286448	736	736	736	736
ENSG00000131686	980	864	1493	2662
ENSG00000229305	1075	1075	1075	1075
ENSG00000284703	4817	4817	4817	4817
ENSG00000226457	381	381	381	381
ENSG00000173614	1529	1094	3734	4610
ENSG00000248527	681	681	681	681
ENSG00000215720	710	710	710	710
ENSG00000241326	436	436	436	436
ENSG00000233623	680	680	680	680
ENSG00000162592	2354	2252	2685	4238
ENSG00000116254	3910	3720	9850	10094
ENSG00000233645	477	477	477	477
ENSG00000204624	2556	1495	5265	6120
ENSG00000142606	1157	554	2879	3870
ENSG00000235146	504	504	607	635
ENSG00000225931	1297	1297	1297	1297
ENSG00000171729	1704	1852	1971	2238
ENSG00000279457	1397	1397	1397	1397
ENSG00000162571	1149	643	2307	3998
ENSG00000229393	514	514	514	514
ENSG00000037637	2811	2036	6227	9009
ENSG00000287586	2992	2992	3030	3225
ENSG00000159423	1914	2032	3139	3632
ENSG00000142599	2278	691	8026	14112
ENSG00000227169	356	356	356	356
ENSG00000283356	135	135	135	135
ENSG00000011021	2370	1047	5631	8173
ENSG00000142615	677	585	916	1519
ENSG00000215704	635	625	915	1449
ENSG00000157916	1436	695	3028	5689
ENSG00000157881	1128	723	2641	5072
