"","ENSEMBL","Length","SYMBOL","ENTREZID"
"1","ENSG00000000003",4536,"TSPAN6","7105"
"2","ENSG00000000005",1476,"TNMD","64102"
"3","ENSG00000000419",9276,"DPM1","8813"
"4","ENSG00000000457",6883,"SCYL3","57147"
"5","ENSG00000000460",5970,"C1orf112","55732"
"6","ENSG00000000938",3382,"FGR","2268"
"7","ENSG00000000971",15284,"CFH","3075"
"8","ENSG00000001036",2822,"FUCA2","2519"
"9","ENSG00000001084",8618,"GCLC","2729"
"10","ENSG00000001167",6209,"NFYA","4800"
"11","ENSG00000001460",8511,"STPG1","90529"
"12","ENSG00000001461",9396,"NIPAL3","57185"
"13","ENSG00000001497",12555,"LAS1L","81887"
"14","ENSG00000001561",4644,"ENPP4","22875"
"15","ENSG00000001617",4826,"SEMA3F","6405"
"16","ENSG00000001626",16821,"CFTR","1080"
"17","ENSG00000001629",7389,"ANKIB1","54467"
"18","ENSG00000001630",4171,"CYP51A1","1595"
"19","ENSG00000001631",21110,"KRIT1","889"
"20","ENSG00000002016",4503,"RAD52","5893"
"21","ENSG00000002330",1708,"BAD","572"
"22","ENSG00000002549",3779,"LAP3","51056"
"23","ENSG00000002586",4858,"CD99","4267"
"24","ENSG00000002587",7435,"HS3ST1","9957"
"25","ENSG00000002726",3786,"AOC1","26"
"26","ENSG00000002745",3264,"WNT16","51384"
"27","ENSG00000002746",13935,"HECW1","23072"
"28","ENSG00000002822",6955,"MAD1L1","8379"
"29","ENSG00000002834",7061,"LASP1","3927"
"30","ENSG00000002919",4133,"SNX11","29916"
"31","ENSG00000002933",3477,"TMEM176A","55365"
"32","ENSG00000003056",3585,"M6PR","4074"
"33","ENSG00000003096",6928,"KLHL13","90293"
"34","ENSG00000003137",4839,"CYP26B1","56603"
"35","ENSG00000003147",4883,"ICA1","3382"
"36","ENSG00000003249",4462,"DBNDD1","79007"
"37","ENSG00000003393",33513,"ALS2","57679"
"38","ENSG00000003400",8920,"CASP10","843"
"39","ENSG00000003402",22478,"CFLAR","8837"
"40","ENSG00000003436",11714,"TFPI","7035"
"41","ENSG00000003509",3651,"NDUFAF7","55471"
"42","ENSG00000003756",10357,"RBM5","10181"
"43","ENSG00000003987",6928,"MTMR7","9108"
"44","ENSG00000003989",7905,"SLC7A2","6542"
"45","ENSG00000004059",1825,"ARF5","381"
"46","ENSG00000004139",11105,"SARM1","23098"
"47","ENSG00000004142",2670,"POLDIP2","26073"
"48","ENSG00000004399",9557,"PLXND1","23129"
"49","ENSG00000004455",17967,"AK2","204"
"50","ENSG00000004468",6857,"CD38","952"
"51","ENSG00000004478",5163,"FKBP4","2288"
"52","ENSG00000004487",18325,"KDM1A","23028"
"53","ENSG00000004534",7299,"RBM6","10180"
"54","ENSG00000004660",7433,"CAMKK1","84254"
"55","ENSG00000004700",3779,"RECQL","5965"
"56","ENSG00000004766",9559,"VPS50","55610"
"57","ENSG00000004776",1724,"HSPB6","126393"
"58","ENSG00000004777",5260,"ARHGAP33","115703"
"59","ENSG00000004779",1548,"NDUFAB1","4706"
