sampleName,condition
GSM5800224,DIS
GSM5800225,DIS
GSM5800226,DIS
GSM5800227,DIS
GSM5800228,DIS
GSM5800229,DIS
GSM5800230,DIS
GSM5800231,DIS
GSM5800232,DIS
GSM5800233,DIS
GSM5800234,DIS
GSM5800235,DIS
GSM5800236,DIS
GSM5800237,DIS
GSM5800238,DIS
GSM5800239,DIS
GSM5800240,CTRL
GSM5800241,CTRL
GSM5800242,CTRL
GSM5800243,CTRL
GSM5800244,CTRL
GSM5800245,CTRL
GSM5800246,CTRL
GSM5800247,CTRL
GSM5800248,CTRL
GSM5800249,CTRL
GSM5800250,CTRL
GSM5800251,CTRL
GSM5800252,CTRL
GSM5800253,CTRL
GSM5800254,CTRL
GSM5800255,CTRL
GSM5800256,LBD
GSM5800257,LBD
GSM5800258,LBD
GSM5800259,LBD
GSM5800260,LBD
GSM5800261,LBD
GSM5800262,LBD
GSM5800263,LBD
GSM5800264,LBD
GSM5800265,LBD
GSM5800266,LBD
GSM5800267,LBD
GSM5800268,LBD
GSM5800269,LBD
GSM5800270,LBD
GSM5800271,LBD
